id,カテゴリー,商品名,親商品名,価格,カラー,サイズ,在庫数,在庫無制限,商品概要,ステータス,消費税率,登録日時,最終更新日時
1,商品,【Dinner】Jewels-ジュエルズ,,12100,,,0,1,"・本日のアミューズ2種
・オホーツク海産毛蟹と帆立貝のタルタル
　赤パブリカのムース　オシェトラキャビア
・知床鶏もも肉ととかちマッシュのパロティーヌ
・金目鯛のクリスティアン万願寺唐辛子のクーリ
・白老産黒毛和牛フィレ肉のロースト
・デザート
・コーヒー／小菓子",公開,0.1,"2022-02-09 14:17:29","2025-06-30 17:25:53"
2,商品,【Dinner】Lumiere-ルミエール,,8800,,,0,1,"・本日のアミューズ2種
・オホーツク海産毛蟹と帆立貝のタルタル
　赤パブリカのムース
・知床鶏もも肉ととかちマッシュのパロティーヌ
・平目のクリスティアン万願寺唐辛子のクーリ
・仔羊骨付き肉のロースト
・デザート
・コーヒー／小菓子",公開,0.1,"2022-02-09 14:17:29","2025-12-17 15:43:15"
3,商品,【Dinner】Eclat-エクラ,,6380,,,0,1,"・本日のアミューズ2種
・帆立貝のタルタル赤パブリカのムース
・真鯛のハーブロースト万願寺唐辛子のクーリ
・知床鶏もも肉ととかちマッシュのファルシ
・デザート
・コーヒー／小菓子",公開,0.1,"2025-06-30 17:27:25","2025-12-17 15:43:15"
4,商品,【Lunch】Ciel-シエル,,4950,,,0,1,"・本日のアミューズ2種
・季節野菜のモイワキッシュ
・本日のお魚料理
・北海道産和牛のアシパルマンテェ風モイワクロケット
・デザート
・コーヒー",公開,0.1,"2025-06-30 17:28:57","2025-06-30 17:29:24"
5,商品,【Lunch】Montagne-モンターニュ,,3520,,,0,1,"・本日のアミューズ2種
・季節野菜のモイワキッシュ
・メインディッシュ（本日のお魚料理または本日のお肉料理）
・デザート
・コーヒー",公開,0.1,"2025-06-30 17:30:22","2025-06-30 17:30:22"
6,商品,【Dinner】Saison-セゾン,,16500,,,0,1,"・本日のアミューズ3種
・本日の前菜2皿
・本日の魚料理
・本日の肉料理
・本日のフロマージュ
・本日のデザート
コーヒー／小菓子",公開,0.1,"2025-06-30 17:56:08","2025-06-30 18:02:47"
7,商品,"【Dinner】Lune brillante-リュヌ・ブリヤン",,13200,,,0,1,"・小さなお料理
・前菜①
・前菜②
・魚料理
・肉料理
・デザート
コーヒー／小菓子",公開,0.1,"2025-06-30 17:58:10","2025-06-30 18:02:38"
8,商品,"【Dinner】Nouvelle pousse-ヌーベル・プース",,11550,,,0,1,"・小さなお料理
・前菜①
・前菜②
・魚料理
・肉料理
・デザート
コーヒー／小菓子",公開,0.1,"2025-06-30 17:59:46","2025-06-30 18:02:28"
9,商品,"【Dinner】Belle montagne-ベル・モンターニュ",,7150,,,0,1,"・小さなお料理
・前菜①
・前菜②
・魚料理
・肉料理
・デザート
・コーヒー／小菓子",公開,0.1,"2025-06-30 18:01:40","2025-06-30 18:02:58"
10,商品,"【Lunch】Grande terre-グラン・テール",,7150,,,0,1,"・小さなお料理
・前菜
・本日の魚料理
・肉料理
・デザート
・コーヒー／小菓子",公開,0.1,"2025-06-30 18:04:36","2025-06-30 18:04:36"
11,商品,"【Lunch】Feuille variees-フィーユ・ヴァリエ",,5170,,,0,1,"・小さなお料理
・前菜
・本日の魚料理
・肉料理
・デザート
・コーヒー／小菓子",公開,0.1,"2025-06-30 18:06:09","2025-06-30 18:06:09"
13,商品,"【Lunch】Fluers sauvages-フルール・ソバージュ（平日限定）",,3850,,,0,1,"・小さなお料理
・前菜
・メインディッシュ
・デザート
・コーヒー／小菓子",公開,0.1,"2025-06-30 18:07:58","2025-06-30 18:07:58"
14,商品,"【Dinner】GARDEN -四季の薫り-",,12100,,,0,1,"・感謝を込めた小さなアミューズ2種
・前菜①
・前菜②
・魚料理
・メイン料理
・デザート
・コーヒー",公開,0.1,"2025-06-30 18:10:16","2025-06-30 18:10:16"
15,商品,【Dinner】FIESTA-街打つ鼓動-,,8800,,,0,1,"・感謝を込めた小さなアミューズ2種
・前菜①
・前菜②
・魚料理
・メイン料理
・デザート
・コーヒー",公開,0.1,"2025-06-30 18:11:19","2025-06-30 18:11:19"
16,商品,"【Dinner】Little GARDEN -季節の足あと-",,6380,,,0,1,"・感謝を込めた小さなアミューズ2種
・前菜
・魚料理
・メイン料理
・デザート
・コーヒー",公開,0.1,"2025-06-30 18:12:53","2025-06-30 18:12:53"
17,商品,"【Dinner】HARVEST -恵の音色-  ※1日2組さま限定コース",,13200,,,0,1,"・感謝を込めた小さなアミューズ2種
・前菜①
・前菜②
・魚料理
・メイン料理
・デザート
・コーヒー",公開,0.1,"2025-06-30 18:14:11","2025-06-30 18:14:11"
18,商品,"【Lunch】Little GARDEN -季節の足あと-",,6380,,,0,1,"・感謝を込めた小さなアミューズ2種
・前菜
・魚料理
・メイン料理
・デザート
・コーヒー",公開,0.1,"2025-06-30 18:15:39","2025-06-30 18:18:21"
19,商品,"【Lunch】Course -Tower-",,4950,,,0,1,"・感謝を込めた小さなアミューズ2種
・前菜
・魚料理
・メイン料理
・デザート
・コーヒー",公開,0.1,"2025-06-30 18:16:47","2025-06-30 18:16:47"
20,商品,"【Lunch】Course -Odori-",,3520,,,0,1,"・感謝を込めた小さなアミューズ2種
・前菜
・メイン料理（魚料理または肉料理）
・デザート
・コーヒー",公開,0.1,"2025-06-30 18:17:44","2025-06-30 18:18:10"
