start	end	text
0	12000	どうも、キングコングの西田昭弘でございます。白熱教室、今日はですね、横丁ビジネスから学ぶことというテーマでお話しさせていただきたいと思います。
12000	18000	ニューヨークとかスリランカにね、行ったり期待しておりますけども、そこでたびたび話題の中で横丁の放送についてもお話しております。
18000	25000	このテーマっていうのはですね、別になんだ、横丁に関係する人だけに届けなきゃいけないテーマっていうことではなくてですね、
25000	33000	他のビジネスでも同じことが言えるんで、応用可能なものを含んでおりますので、ぜひですね、最後までお付き合いいただきたいなと思っております。
33000	40000	公開収録しております。朝の4時41分、何時にやってるんだろうなって話なんですけども、すいませんね、なんかね、もう最近これぐらいの時間しか空いてないんですよ。
40000	49000	あの、いつも、仕事でまま忙しいんですよ。仕事でまま忙しい、なんか最近はですね、ゲンカップヘルっていうのをですね、スタートさせてしまったがためにですね、
49000	56000	本当に、本当にこんな時間しか空いてなくなっちゃってですね、もうちょっとしたら朝が始まるので朝、6時半ぐらいから、
56000	62000	ボイシの通常を撮らなきゃいけないし、サロン記事書かなきゃいけないし、金光日のサイン本屋さんみたいにやらなきゃいけないし、
62000	68000	それが終わったらもうコンサートが入ってたり、あとゲンカップヘルが入ってたりするので、もうここしか空いてないですね。
68000	74000	だから公開収録の時間は完全に間違ってるんですけども、ただこんな時間でもですね、お付き合い下さってる方がいらっしゃるので、
74000	80000	その方に向けて、そしてアルバムできたらという方に向けてお話させていただきたいと思います。横丁ビジネスの話でございます。
80000	85000	現在ですね、ニューヨークとスリランカでそれぞれ横丁を作ろうというプロジェクトが進行中でございます。
85000	96000	ちょっと生々しい話をすると、ニューヨークの方はちょっと時間はかかるが手がたいというか、実は大手の勝者が入っている発見なので、
97000	105000	時間はかかりますが、結構芽干しはついている。スリランカは半々かな、本当にこれやるのかって思いながら、
105000	111000	でもそういうところに一応張っておこうということで、別にね、なくなったらなくなったのでそこで学ぶものもあるなと思って、
111000	116000	実はスリランカの関係で全部僕は半々だなと思ってやってるんです。全部が決まった上でスタートしてるわけではなくて、
116000	122000	まだまだ不安定な国ですから、ただそこに突っ込んでいくことで学ぶことも多いなと思って、
123000	129000	いずれにせい、土地はすでに確保できているんですね。ニューヨークの方もスリランカの方も、
129000	135000	ここに横丁を作りましょうみたいな話は、どちらとも上がっておりまして、それが実際に進むかどうかみたいなところですね。
135000	142000	ニューヨークは80%、90%は進むであろうと。スリランカは50%、40%ぐらい。どっちかな、これみたいな。
142000	149000	分からない、国がガッと上がっていく時だから、急にお金が取ってくる時もあれば、このお金が別に使いましょうってなることもありますね。
149000	154000	その決定権では別に自分たちじゃないので、スリランカがガーの人間じゃないので、どうなるか分からないんですけど、
154000	162000	いずれにせい、土地は確保できている。あとをやらなきゃいけないのは、果たして本当に横丁はビジネスとして成立するのかっていう検証なんかにもあるということですね。
162000	169000	これ徹底的に検証してこれダメだったら絶対やらないっていうのは決めているんですけれども、これから定的なシミュレーションを重ねていきますが、
170000	176000	まあね、最終的にはですね、どれだけ身長を期してもですね、最後はエイヤーと核を埋めて組み出すしかないっていう点は明らかです。
176000	179000	これは他のビジネスでも、皆さんが選べてほしいことでも共通していることだと思います。
