Date,Day,Sales
4/1,Mon,127550
4/2,Tue,92000
4/3,Wed,93700
4/4,Thu,0
4/5,Fri,81000
4/6,Sat,102780
4/7,Sun,101200
4/8,Mon,67400
4/9,Tue,86300
4/10,Wed,0
4/11,Thu,102450
4/12,Fri,107250
4/13,Sat,106250
4/14,Sun,95550
4/15,Mon,67100
4/16,Tue,89550
4/17,Wed,0
4/18,Thu,75100
4/19,Fri,125500
4/20,Sat,138200
4/21,Sun,66700
4/22,Mon,71700
4/23,Tue,79650
4/24,Wed,0
4/25,Thu,90250
4/26,Fri,111250
4/27,Sat,94500
4/28,Sun,157700
4/29,Mon,116550
4/30,Tue,92000
5/1,Wed,86400
5/2,Thu,141800
5/3,Fri,138550
5/4,Sat,105380
5/5,Sun,103250
5/6,Mon,105500
5/7,Tue,82900
5/8,Wed,79650
5/9,Thu,95500
5/10,Fri,128550
5/11,Sat,152900
5/12,Sun,126880
5/13,Mon,94050
5/14,Tue,81750
5/15,Wed,86600
5/16,Thu,89700
5/17,Fri,109600
5/18,Sat,115400
5/19,Sun,130600
5/20,Mon,91700
5/21,Tue,86900
5/22,Wed,60250
5/23,Thu,112650
5/24,Fri,153460
5/25,Sat,86100
5/26,Sun,176900
5/27,Mon,65850
5/28,Tue,96450
5/29,Wed,143900
5/30,Thu,103350
5/31,Fri,124250
6/1,Sat,115350
6/2,Sun,114800
6/3,Mon,93400
6/4,Tue,88850
6/5,Wed,89750
6/6,Thu,145900
6/7,Fri,96450
6/8,Sat,230200
6/9,Sun,145450
6/10,Mon,79900
6/11,Tue,61750
6/12,Wed,104600
6/13,Thu,104400
6/14,Fri,149950
6/15,Sat,151430
6/16,Sun,161730
6/17,Mon,104730
6/18,Tue,97000
6/19,Wed,149100
6/20,Thu,94150
6/21,Fri,138200
6/22,Sat,176000
6/23,Sun,155800
6/24,Mon,107650
6/25,Tue,121600
6/26,Wed,119100
6/27,Thu,147800
6/28,Fri,197850
6/29,Sat,205400
6/30,Sun,202450
7/1,Mon,148200
7/2,Tue,165050
7/3,Wed,154230
7/4,Thu,144900
7/5,Fri,111050
7/6,Sat,165600
7/7,Sun,159850
7/8,Mon,103900
7/9,Tue,130400
7/10,Wed,114000
7/11,Thu,124550
7/12,Fri,123500
7/13,Sat,154900
7/14,Sun,163100
7/15,Mon,150950
7/16,Tue,108450
7/17,Wed,108250
7/18,Thu,159900
7/19,Fri,166700
7/20,Sat,156650
7/21,Sun,138200
7/22,Mon,101400
7/23,Tue,142400
7/24,Wed,121150
7/25,Thu,109600
7/26,Fri,208150
7/27,Sat,184650
7/28,Sun,132600
7/29,Mon,166950
7/30,Tue,131900
7/31,Wed,148400
8/1,Thu,122600
8/2,Fri,151350
8/3,Sat,162600
8/4,Sun,117750
8/5,Mon,112750
8/6,Tue,133950
8/7,Wed,145150
8/8,Thu,134950
8/9,Fri,149050
8/10,Sat,111180
8/11,Sun,143750
8/12,Mon,111550
8/13,Tue,117750
8/14,Wed,148400
8/15,Thu,127800
8/16,Fri,117630
8/17,Sat,128550
8/18,Sun,148150
8/19,Mon,102350
8/20,Tue,82600
8/21,Wed,137100
8/22,Thu,155500
8/23,Fri,161530
8/24,Sat,170200
8/25,Sun,156950
8/26,Mon,144180
8/27,Tue,122400
8/28,Wed,118000
8/29,Thu,145300
8/30,Fri,189200
8/31,Sat,185300
9/1,Sun,191050
9/2,Mon,68100
9/3,Tue,117250
9/4,Wed,131500
9/5,Thu,88300
9/6,Fri,100000
9/7,Sat,142700
9/8,Sun,107950
9/9,Mon,84950
9/10,Tue,96650
9/11,Wed,99450
9/12,Thu,139100
9/13,Fri,117850
9/14,Sat,142050
9/15,Sun,165350
9/16,Mon,99150
9/17,Tue,75150
9/18,Wed,107100
9/19,Thu,98900
9/20,Fri,140050
9/21,Sat,158700
9/22,Sun,184150
9/23,Mon,79650
9/24,Tue,80750
9/25,Wed,89300
9/26,Thu,88750
9/27,Fri,93950
9/28,Sat,106350
9/29,Sun,127900
9/30,Mon,102550
10/1,Tue,73200
10/2,Wed,108250
10/3,Thu,103350
10/4,Fri,131900
10/5,Sat,102950
10/6,Sun,130250
10/7,Mon,148250
10/8,Tue,114280
10/9,Wed,100450
10/10,Thu,112000
10/11,Fri,137400
10/12,Sat,129350
10/13,Sun,125700
10/14,Mon,133550
10/15,Tue,108700
10/16,Wed,78400
10/17,Thu,102150
10/18,Fri,126550
10/19,Sat,112150
10/20,Sun,130350
10/21,Mon,102550
10/22,Tue,102850
10/23,Wed,142250
10/24,Thu,115100
10/25,Fri,119550
10/26,Sat,162650
10/27,Sun,147800
10/28,Mon,121100
10/29,Tue,95300
10/30,Wed,127950
10/31,Thu,117850
11/1,Fri,106100
11/2,Sat,148800
11/3,Sun,194150
11/4,Mon,87550
11/5,Tue,106800
11/6,Wed,126400
11/7,Thu,125500
11/8,Fri,115500
11/9,Sat,137650
11/10,Sun,176550
