店舗別サマリー
店舗名,売上金額
LA BRIQUE SAPPORO Akarenga Terrace,413424.0
THE GARDEN SAPPORO                 HOKKAIDO GRILLE,5677096.0
THE JEWELS,20988510.0
ひつじにわいん,24414080.0
カフェ セレステ,6696570.0
ヌーベルプース大倉山 - REPOS,6391643.0
ルスツ羊蹄ぶた by BRIQUE,5180246.0
店舗合計,69761569.0

月別サマリー
年月,売上金額
2024-11,2665179.0
2024-12,3747773.0
2025-01,2946945.0
2025-02,3060955.0
2025-03,2520597.0
2025-04,1707090.0
2025-05,5024323.0
2025-06,9615818.0
2025-07,13449377.0
2025-08,13676581.0
2025-09,6517524.0
2025-10,4829407.0
月別合計,69761569.0

ブランド別サマリー
ブランド,売上金額
Alipay,45870.0
Alipay+,2171780.0
J-Coin Pay,64390.0
PayPay,27095598.0
QUICPay,8237775.0
WAON,1550761.0
WeChat Pay,2604930.0
au PAY,2432020.0
d払い,10183709.0
iD,5332805.0
nanaco,350880.0
メルペイ,350670.0
交通系IC,13150.0
交通系電子マネー,3191217.0
楽天Edy,533890.0
電子マネー,5594874.0
電子マネー１,7250.0
ブランド合計,69761569.0

総合計,69,761,569
