date,weekday,surfins_hours,forking_hours,timee_hours,total_hours,sales_per_hour,total_sales,customers
2023-05-27,土,0,0,0,118.8,7444,884000,247
2023-05-28,日,0,0,0,100.5,5733,576200,130
2023-05-29,月,0,0,0,70.5,2805,197800,40
2023-05-30,火,0,0,0,69.8,1073,74900,19
2023-05-31,水,0,0,0,73,3313,241850,70
2023-06-01,木,0,0,0,82.5,5250,433200,122
2023-06-02,金,0,0,0,80,4913,393050,86
2023-06-03,土,0,0,0,97.2,3521,342450,89
2023-06-04,日,0,0,0,93.8,2503,234700,65
2023-06-05,月,0,0,0,77.8,,105450,29
2023-06-06,火,0,0,0,81.8,3271,254350,63
2023-06-07,水,0,0,0,81,2231,180750,43
2023-06-08,木,0,0,0,84.5,6012,508050,132
2023-06-09,金,0,0,0,77,2228,171600,44
2023-06-10,土,0,0,0,107,7251,775950,251
2023-06-11,日,0,0,0,112,12225,1369250,357
2023-06-12,月,0,0,0,77,6944,534700,133
2023-06-13,火,0,0,0,83,3696,306850,82
2023-06-14,水,0,0,0,81.8,5075,414950,140
2023-06-15,木,0,0,0,116,11825,1371750,302
2023-06-16,金,0,0,0,99.8,8770,874850,219
2023-06-17,土,0,0,0,110.5,16026,1770950,443
2023-06-18,日,0,0,0,104.8,5635,590300,137
2023-06-19,月,0,0,0,77.5,7237,560900,132
2023-06-20,火,0,0,0,82.2,8662,712500,169
2023-06-21,水,0,0,0,84.8,9906,839550,200
2023-06-22,木,0,0,0,99.8,5358,534550,149
2023-06-23,金,0,0,0,99.8,6736,672000,160
2023-06-24,土,0,0,0,122.2,13727,1678200,413
2023-06-25,日,0,0,0,131.8,13609,1793100,435
2023-06-26,月,0,0,0,104.2,7062,736300,210
2023-06-27,火,0,0,0,102,10808,1102500,259
2023-06-28,水,0,0,0,114.2,7851,897000,240
2023-06-29,木,0,0,0,85,4010,340900,87
2023-06-30,金,0,0,0,118.5,3831,454050,118
2023-07-01,土,0,0,0,151,6715,1014100,217
2023-07-02,日,0,0,0,151,7632,1152450,279
2023-07-03,月,0,0,0,145,4603,667550,154
2023-07-04,火,0,0,0,145,5573,808100,201
2023-07-05,水,0,0,0,145,7554,1095450,264
2023-07-06,木,0,0,0,151,10639,1606550,305
2023-07-07,金,0,0,0,165.5,10734,1776600,392
2023-07-08,土,0,0,0,165.5,15366,2543200,565
2023-07-09,日,0,0,0,165.5,13841,2290800,513
2023-07-10,月,0,0,0,126,9596,1209200,293
2023-07-11,火,0,0,0,126,6421,809150,181
2023-07-12,水,0,0,0,125,6378,797350,175
2023-07-13,木,0,0,0,145,6556,950750,220
2023-07-14,金,0,0,0,151,11368,1716650,373
2023-07-15,土,0,0,0,165.5,7480,1238100,252
2023-07-16,日,0,0,0,165.5,17277,2859500,660
2023-07-17,月,0,0,0,124.5,11670,1453000,353
2023-07-18,火,0,0,0,126,8927,1124900,280
2023-07-19,水,0,0,0,126,14477,1824200,410
2023-07-20,木,0,0,0,143.5,13352,1916150,440
2023-07-21,金,0,0,0,149,15736,2344750,509
2023-07-22,土,0,0,0,170.5,17674,3013450,717
2023-07-23,日,0,0,0,173.5,10700,1856550,453
2023-07-24,月,0,0,0,124.5,11020,1372100,314
2023-07-25,火,0,0,0,124.5,12859,1600950,315
2023-07-26,水,0,0,0,125.5,11086,1391400,334
2023-07-27,木,0,0,0,171,9595,1640850,335
2023-07-28,金,0,0,0,162,13057,2115300,410
2023-07-29,土,0,0,0,167,15049,2513250,487
2023-07-30,日,0,0,0,178,9344,1663350,389
2023-07-31,月,0,0,0,124.5,7846,976900,246
2023-08-01,火,0,0,0,156.5,10114,1582850,342
2023-08-02,水,0,0,0,135,10580,1428300,310
2023-08-03,木,0,0,0,173.5,7278,1262750,316
2023-08-04,金,0,0,0,163,10669,1739150,343
2023-08-05,土,0,0,0,185.5,14222,2638350,570
2023-08-06,日,0,0,0,187.5,5908,1107800,288
2023-08-07,月,0,0,0,163,8842,1441400,322
2023-08-08,火,0,0,0,165,11848,1954950,376
2023-08-09,水,0,0,0,189,8917,1685400,391
2023-08-10,木,0,0,0,184.5,10421,1922750,441
2023-08-11,金,0,0,0,184.5,12071,2227150,447
