date,weekday,sekki,rank,season,season_pt,monthly_idx,weekday_idx,sekki_idx,weekly_idx,daily_idx,layers_used,kf1,kf2,kf3,mp_point,predicted_sales,predicted_count,actual_sales,actual_count
2023-04-01,土,春分,17,LOW SEASON,2.22,2.0,5.0,1.12,1.13,0.0,4,2.31,2.47,2.5,2.43,0,0,0,0
2023-04-02,日,春分,17,LOW SEASON,2.22,2.0,4.0,1.12,1.13,0.0,4,2.06,2.47,2.5,2.34,0,0,0,0
2023-04-03,月,春分,17,LOW SEASON,2.22,2.0,2.0,1.12,1.0,0.0,4,1.53,2.47,2.5,2.17,0,0,0,0
2023-04-04,火,春分,17,LOW SEASON,2.22,2.0,2.0,1.12,1.0,0.0,4,1.53,2.47,2.5,2.17,0,0,0,0
2023-04-05,水,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.0,0.0,4,1.5,2.47,2.5,2.16,0,0,0,0
2023-04-06,木,清明,24,OFF SEASON,1.0,2.0,3.0,1.0,1.0,0.0,4,1.75,2.47,2.5,2.24,0,0,0,0
2023-04-07,金,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.0,0.0,4,2.0,2.47,2.5,2.32,0,0,0,0
2023-04-08,土,清明,24,OFF SEASON,1.0,2.0,5.0,1.0,1.0,0.0,4,2.25,2.47,2.5,2.41,0,0,0,0
2023-04-09,日,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.0,0.0,4,2.0,2.47,2.5,2.32,0,0,0,0
2023-04-10,月,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.06,0.0,4,1.52,2.47,2.5,2.16,0,0,0,0
2023-04-11,火,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.06,0.0,4,1.52,2.47,2.5,2.16,0,0,0,0
2023-04-12,水,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.06,0.0,4,1.52,2.47,2.5,2.16,0,0,0,0
2023-04-13,木,清明,24,OFF SEASON,1.0,2.0,3.0,1.0,1.06,0.0,4,1.77,2.47,2.5,2.25,0,0,0,0
2023-04-14,金,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.06,0.0,4,2.02,2.47,2.5,2.33,0,0,0,0
2023-04-15,土,清明,24,OFF SEASON,1.0,2.0,5.0,1.0,1.06,0.0,4,2.27,2.47,2.5,2.41,0,0,0,0
2023-04-16,日,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.06,0.0,4,2.02,2.47,2.5,2.33,0,0,0,0
2023-04-17,月,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.02,0.0,4,1.5,2.47,2.5,2.16,0,0,0,0
2023-04-18,火,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.02,0.0,4,1.5,2.47,2.5,2.16,0,0,0,0
2023-04-19,水,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.02,0.0,4,1.5,2.47,2.5,2.16,0,0,0,0
2023-04-20,木,穀雨,18,LOW SEASON,2.04,2.0,3.0,1.18,1.02,0.0,4,1.8,2.47,2.5,2.26,0,0,0,0
2023-04-21,金,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.18,1.02,0.0,4,2.05,2.47,2.5,2.34,0,0,0,0
2023-04-22,土,穀雨,18,LOW SEASON,2.04,2.0,5.0,1.18,1.02,0.0,4,2.3,2.47,2.5,2.42,0,0,0,0
2023-04-23,日,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.18,1.02,0.0,4,2.05,2.47,2.5,2.34,0,0,0,0
2023-04-24,月,穀雨,18,LOW SEASON,2.04,2.0,2.0,1.18,1.06,0.0,4,1.56,2.47,2.5,2.18,0,0,0,0
2023-04-25,火,穀雨,18,LOW SEASON,2.04,2.0,2.0,1.18,1.06,0.0,4,1.56,2.47,2.5,2.18,0,0,0,0
2023-04-26,水,穀雨,18,LOW SEASON,2.04,2.0,2.0,1.18,1.06,0.0,4,1.56,2.47,2.5,2.18,0,0,0,0
2023-04-27,木,穀雨,18,LOW SEASON,2.04,2.0,3.0,1.18,1.06,0.0,4,1.81,2.47,2.5,2.26,0,0,0,0
2023-04-28,金,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.18,1.06,0.0,4,2.06,2.47,2.5,2.34,0,0,0,0
2023-04-29,土,穀雨,18,LOW SEASON,2.04,2.0,5.0,1.18,1.06,4.0,5,2.65,2.47,2.5,2.54,0,0,0,0
2023-04-30,日,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.18,1.06,4.5,5,2.55,2.47,2.5,2.51,0,0,0,0
2023-05-01,月,穀雨,18,LOW SEASON,2.04,4.0,2.0,1.18,1.34,4.5,5,2.6,1.54,1.39,1.84,0,0,0,0
2023-05-02,火,穀雨,18,LOW SEASON,2.04,4.0,2.0,1.18,1.34,4.5,5,2.6,1.54,1.39,1.84,0,0,0,0
2023-05-03,水,穀雨,18,LOW SEASON,2.04,4.0,2.0,1.18,1.34,5.0,5,2.7,1.54,1.39,1.88,0,0,0,0
2023-05-04,木,穀雨,18,LOW SEASON,2.04,4.0,3.0,1.18,1.34,5.0,5,2.9,1.54,1.39,1.94,0,0,0,0
2023-05-05,金,穀雨,18,LOW SEASON,2.04,4.0,4.0,1.18,1.34,5.0,5,3.1,1.54,1.39,2.01,0,0,0,0
2023-05-06,土,立夏,13,FLOW SEASON,2.91,4.0,5.0,1.26,1.34,4.5,5,3.22,1.54,1.39,2.05,0,0,0,0
2023-05-07,日,立夏,13,FLOW SEASON,2.91,4.0,4.0,1.26,1.34,0.0,4,2.65,1.54,1.39,1.86,0,0,0,0
2023-05-08,月,立夏,13,FLOW SEASON,2.91,4.0,2.0,1.26,1.22,0.0,4,2.12,1.54,1.39,1.68,0,0,0,0
2023-05-09,火,立夏,13,FLOW SEASON,2.91,4.0,2.0,1.26,1.22,0.0,4,2.12,1.54,1.39,1.68,0,0,0,0
2023-05-10,水,立夏,13,FLOW SEASON,2.91,4.0,2.0,1.26,1.22,0.0,4,2.12,1.54,1.39,1.68,0,0,0,0
2023-05-11,木,立夏,13,FLOW SEASON,2.91,4.0,3.0,1.26,1.22,0.0,4,2.37,1.54,1.39,1.77,0,0,0,0
2023-05-12,金,立夏,13,FLOW SEASON,2.91,4.0,4.0,1.26,1.22,0.0,4,2.62,1.54,1.39,1.85,0,0,0,0
2023-05-13,土,立夏,13,FLOW SEASON,2.91,4.0,5.0,1.26,1.22,0.0,4,2.87,1.54,1.39,1.93,0,0,0,0
2023-05-14,日,立夏,13,FLOW SEASON,2.91,4.0,4.0,1.26,1.22,0.0,4,2.62,1.54,1.39,1.85,0,0,0,0
2023-05-15,月,立夏,13,FLOW SEASON,2.91,4.0,2.0,1.26,1.3,0.0,4,2.14,1.54,1.39,1.69,0,0,0,0
2023-05-16,火,立夏,13,FLOW SEASON,2.91,4.0,2.0,1.26,1.3,0.0,4,2.14,1.54,1.39,1.69,0,0,0,0
2023-05-17,水,立夏,13,FLOW SEASON,2.91,4.0,2.0,1.26,1.3,0.0,4,2.14,1.54,1.39,1.69,0,0,0,0
2023-05-18,木,立夏,13,FLOW SEASON,2.91,4.0,3.0,1.26,1.3,0.0,4,2.39,1.54,1.39,1.77,0,0,0,0
2023-05-19,金,立夏,13,FLOW SEASON,2.91,4.0,4.0,1.26,1.3,0.0,4,2.64,1.54,1.39,1.86,0,0,0,0
2023-05-20,土,立夏,13,FLOW SEASON,2.91,4.0,5.0,1.26,1.3,0.0,4,2.89,1.54,1.39,1.94,0,0,0,0
2023-05-21,日,小満,14,FLOW SEASON,2.74,4.0,4.0,1.49,1.3,0.0,4,2.7,1.54,1.39,1.88,0,0,0,0
2023-05-22,月,小満,14,FLOW SEASON,2.74,4.0,2.0,1.49,1.2,0.0,4,2.17,1.54,1.39,1.7,0,0,0,0
2023-05-23,火,小満,14,FLOW SEASON,2.74,4.0,2.0,1.49,1.2,0.0,4,2.17,1.54,1.39,1.7,0,0,0,0
2023-05-24,水,小満,14,FLOW SEASON,2.74,4.0,2.0,1.49,1.2,0.0,4,2.17,1.54,1.39,1.7,0,0,0,0
2023-05-25,木,小満,14,FLOW SEASON,2.74,4.0,3.0,1.49,1.2,0.0,4,2.42,1.54,1.39,1.78,0,0,0,0
2023-05-26,金,小満,14,FLOW SEASON,2.74,4.0,4.0,1.49,1.2,0.0,4,2.67,1.54,1.39,1.87,0,0,0,0
2023-05-27,土,小満,14,FLOW SEASON,2.74,4.0,5.0,1.49,1.2,0.0,4,2.92,1.54,1.39,1.95,0,0,884000,247
