date,weekday,temp_low,temp_high,temp_12h,temp_15h,temp_18h,temp_avg,weather_desc,weather_score,total_sales,customers
2023-05-27,土,15.4,25.8,5,5,4,4.67,※5.6月は18時は最低気温を採用。7月〜は最高気温を採用。,,884000,247
2023-05-28,日,15.8,23,1,1,1,1,晴れ（33度まで）,5,576200,130
2023-05-29,月,14,16.4,2,2,2,2,晴れ（25度以下）,4,197800,40
2023-05-30,火,10.2,15.1,2,1,1,1.33,晴れ（33度以上）曇25度以上,3,74900,19
2023-05-31,水,8,19.6,4,4,4,4,曇,2,241850,70
2023-06-01,木,9.6,24.7,4,4,4,4,雨,1,433200,122
2023-06-02,金,15.4,21.9,4,4,1,3,豪雨・雷雨,,393050,86
2023-06-03,土,13.6,16.4,1,1,4,2,※5.6月は18時は最低気温を採用。7月〜は最高気温を採用。,,342450,89
2023-06-04,日,8.2,17.4,1,1,4,2,晴れ（33度まで）,5,234700,65
2023-06-05,月,8.9,17.7,2,1,4,2.33,晴れ（25度以下）,4,105450,29
2023-06-06,火,10.9,22.5,1,1,4,2,晴れ（33度以上）曇25度以上,3,254350,63
2023-06-07,水,15.5,20.6,1,1,2,1.33,曇,2,180750,43
2023-06-08,木,14.3,26.2,5,5,4,4.67,雨,1,508050,132
2023-06-09,金,16.4,19.2,1,1,1,1,豪雨・雷雨,,171600,44
2023-06-10,土,15.3,19.2,4,4,4,4,※5.6月は18時は最低気温を採用。7月〜は最高気温を採用。,,775950,251
2023-06-11,日,13.4,24.2,4,4,4,4,晴れ（33度まで）,5,1369250,357
2023-06-12,月,15.7,25.6,5,5,4,4.67,晴れ（25度以下）,4,534700,133
2023-06-13,火,16.9,21.9,2,2,2,2,晴れ（33度以上）曇25度以上,3,306850,82
2023-06-14,水,16.5,23.2,1,4,4,3,曇,2,414950,140
2023-06-15,木,16,26.5,5,5,4,4.67,雨,1,1371750,302
2023-06-16,金,17.3,27.3,5,5,3,4.33,豪雨・雷雨,,874850,219
2023-06-17,土,16.9,28.7,5,5,4,4.67,※5.6月は18時は最低気温を採用。7月〜は最高気温を採用。,,1770950,443
2023-06-18,日,17.4,21.5,1,2,4,2.33,晴れ（33度まで）,5,590300,137
2023-06-19,月,14.7,20,4,4,4,4,晴れ（25度以下）,4,560900,132
2023-06-20,火,13.8,23.6,4,4,4,4,晴れ（33度以上）曇25度以上,3,712500,169
2023-06-21,水,14.5,28.2,5,5,4,4.67,曇,2,839550,200
2023-06-22,木,17.1,24.5,4,4,4,4,雨,1,534550,149
2023-06-23,金,18.4,26,3,3,4,3.33,豪雨・雷雨,,672000,160
2023-06-24,土,16.8,25.3,5,5,4,4.67,※5.6月は18時は最低気温を採用。7月〜は最高気温を採用。,,1678200,413
