date,weekday,l_kensu,l_count,l_food,l_drink,l_total,l_avg,at_kensu,at_count,at_total,d_count,d_food,d_drink,d_total,d_avg,ryb_kensu,ryb_count,ryb_food,ryb_drink,ryb_total,ryb_avg,seat_fee,flower,grand_total
2025-05-01,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-02,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-03,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-04,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-05,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-06,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-08,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-09,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-10,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-11,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-12,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,118065,5800,123865,1529,0,0,0
2025-05-13,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,111350,9200,120550,1629,0,0,0
2025-05-14,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,70350,3600,73950,1541,0,0,0
2025-05-15,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,67900,7900,75800,1378,0,0,0
2025-05-16,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114,103700,36400,140100,1229,0,0,0
2025-05-17,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,86200,15000,101200,1281,0,0,0
2025-05-18,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,119000,10600,129600,1507,0,0,0
2025-05-19,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,59350,2800,62150,1381,0,0,0
2025-05-20,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,98900,5000,103900,1649,0,0,0
2025-05-21,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,62050,5800,67850,1150,0,0,0
2025-05-22,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,68200,1900,70100,1323,0,0,0
2025-05-23,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,92550,39600,132150,965,0,0,0
2025-05-24,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,91700,13900,105600,1288,0,0,0
2025-05-25,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,85250,15000,100250,1269,0,0,0
2025-05-26,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,61750,4300,66050,1348,0,0,0
2025-05-27,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,78250,3200,81450,1381,0,0,0
2025-05-28,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,93200,4000,97200,1296,0,0,0
2025-05-29,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,112100,16300,128400,1310,0,0,0
2025-05-30,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,158,150300,49400,199700,1264,0,0,0
2025-05-31,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,120300,10300,130600,1612,0,0,0
2025-06-01,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,106450,12200,118650,1625,0,0,0
2025-06-02,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,94850,3100,97950,1555,0,0,0
2025-06-03,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,48,51330,6800,58130,1211,0,0,0
2025-06-04,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,75,75730,16900,92630,1235,0,0,0
2025-06-05,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,75,94100,10700,104800,1397,0,0,0
2025-06-06,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,116,103930,28800,132730,1144,0,0,0
2025-06-07,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,117,138740,22200,160940,1376,0,0,0
2025-06-08,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,123,138450,29000,167450,1361,0,0,0
2025-06-09,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,71,82100,11400,93500,1317,0,0,0
2025-06-10,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55,64980,6400,71380,1298,0,0,0
2025-06-11,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,69,85530,11100,96630,1400,0,0,0
2025-06-12,木,4,8,66000,4620,70620,8828,0,0,0,6,86200,27320,113520,18920,59,64,74350,9000,83350,1302,0,0,184140
2025-06-13,金,0,0,0,0,0,0,0,0,0,6,89100,26620,115720,19287,127,130,137460,51450,188910,1453,0,0,115720
