date,weekday,sekki,level,season,season_pt,kf1_constant,weekday_idx,mp_sekki,l_count,d_count,total_count,grand_total
2025-05-01,木,穀雨,20,LOW SEASON,1.83,3.56,3.00,1.85,0,0,0,0
2025-05-02,金,穀雨,20,LOW SEASON,1.83,3.56,4.00,1.85,0,0,0,0
2025-05-03,土,穀雨,20,LOW SEASON,1.83,3.56,5.00,1.85,0,0,0,0
2025-05-04,日,穀雨,20,LOW SEASON,1.83,3.56,4.00,1.85,0,0,0,0
2025-05-05,月,立夏,21,OFF SEASON,1.67,3.56,2.00,1.85,0,0,0,0
2025-05-06,火,立夏,21,OFF SEASON,1.67,3.56,2.00,1.85,0,0,0,0
2025-05-07,水,立夏,21,OFF SEASON,1.67,3.56,2.00,1.85,0,0,0,0
2025-05-08,木,立夏,21,OFF SEASON,1.67,3.56,3.00,1.85,0,0,0,0
2025-05-09,金,立夏,21,OFF SEASON,1.67,3.56,4.00,1.85,0,0,0,0
2025-05-10,土,立夏,21,OFF SEASON,1.67,3.56,5.00,1.85,0,0,0,0
2025-05-11,日,立夏,21,OFF SEASON,1.67,3.56,4.00,1.85,0,0,0,0
2025-05-12,月,立夏,21,OFF SEASON,1.67,3.56,2.00,1.85,0,0,0,0
2025-05-13,火,立夏,21,OFF SEASON,1.67,3.56,2.00,1.85,0,0,0,0
2025-05-14,水,立夏,21,OFF SEASON,1.67,3.56,2.00,1.85,0,0,0,0
2025-05-15,木,立夏,21,OFF SEASON,1.67,3.56,3.00,1.85,0,0,0,0
2025-05-16,金,立夏,21,OFF SEASON,1.67,3.56,4.00,1.85,0,0,0,0
2025-05-17,土,立夏,21,OFF SEASON,1.67,3.56,5.00,1.85,0,0,0,0
2025-05-18,日,立夏,21,OFF SEASON,1.67,3.56,4.00,1.85,0,0,0,0
2025-05-19,月,立夏,21,OFF SEASON,1.67,3.56,2.00,1.85,0,0,0,0
2025-05-20,火,立夏,21,OFF SEASON,1.67,3.56,2.00,1.85,0,0,0,0
2025-05-21,水,小満,19,LOW SEASON,2.00,3.56,2.00,1.86,0,0,0,0
2025-05-22,木,小満,19,LOW SEASON,2.00,3.56,3.00,1.86,0,0,0,0
2025-05-23,金,小満,19,LOW SEASON,2.00,3.56,4.00,1.86,0,0,0,0
2025-05-24,土,小満,19,LOW SEASON,2.00,3.56,5.00,1.86,0,0,0,0
2025-05-25,日,小満,19,LOW SEASON,2.00,3.56,4.00,1.86,0,0,0,0
2025-05-26,月,小満,19,LOW SEASON,2.00,3.56,2.00,1.86,0,0,0,0
2025-05-27,火,小満,19,LOW SEASON,2.00,3.56,2.00,1.86,0,0,0,0
2025-05-28,水,小満,19,LOW SEASON,2.00,3.56,2.00,1.86,0,0,0,0
2025-05-29,木,小満,19,LOW SEASON,2.00,3.56,3.00,1.86,0,0,0,0
2025-05-30,金,小満,19,LOW SEASON,2.00,3.56,4.00,1.86,0,0,0,0
2025-05-31,土,小満,19,LOW SEASON,2.00,3.56,5.00,1.86,0,0,0,0
2025-06-01,日,小満,19,LOW SEASON,2.00,3.58,4.00,1.86,0,0,0,0
2025-06-02,月,小満,19,LOW SEASON,2.00,3.58,2.00,1.86,0,0,0,0
2025-06-03,火,小満,19,LOW SEASON,2.00,3.58,2.00,1.86,0,0,0,0
2025-06-04,水,小満,19,LOW SEASON,2.00,3.58,2.00,1.86,0,0,0,0
2025-06-05,木,小満,19,LOW SEASON,2.00,3.58,3.00,1.86,0,0,0,0
2025-06-06,金,芒種,16,LOW SEASON,2.50,3.58,4.00,3.22,0,0,0,0
2025-06-07,土,芒種,16,LOW SEASON,2.50,3.58,5.00,3.22,0,0,0,0
2025-06-08,日,芒種,16,LOW SEASON,2.50,3.58,4.00,3.22,0,0,0,0
2025-06-09,月,芒種,16,LOW SEASON,2.50,3.58,2.00,3.22,0,0,0,0
2025-06-10,火,芒種,16,LOW SEASON,2.50,3.58,2.00,3.22,0,0,0,0
2025-06-11,水,芒種,16,LOW SEASON,2.50,3.58,2.00,3.22,0,0,0,0
2025-06-12,木,芒種,16,LOW SEASON,2.50,3.58,3.00,3.22,8,6,14,184140
2025-06-13,金,芒種,16,LOW SEASON,2.50,3.58,4.00,3.22,0,6,6,115720
2025-06-14,土,芒種,16,LOW SEASON,2.50,3.58,5.00,3.22,9,15,24,392310
