date,weekday,sekki,rank,season,season_pt,monthly_idx,weekday_idx,sekki_idx,weekly_idx,daily_idx,layers_used,kf1,kf2,kf3,mp_point,predicted_sales,predicted_count,actual_sales,actual_count
2023-04-01,土,春分,17,LOW SEASON,2.22,2.0,5.0,1.0,1.0,0.0,3,1.86,2.5,2.5,2.29,0,0,0,0
2023-04-02,日,春分,17,LOW SEASON,2.22,2.0,4.0,1.0,1.0,0.0,3,1.52,2.5,2.5,2.17,0,0,0,0
2023-04-03,月,春分,17,LOW SEASON,2.22,2.0,2.0,1.0,1.0,0.0,3,1.12,2.5,2.5,2.04,0,0,0,0
2023-04-04,火,春分,17,LOW SEASON,2.22,2.0,2.0,1.0,1.0,0.0,3,1.22,2.5,2.5,2.07,0,0,0,0
2023-04-05,水,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.0,0.0,3,1.2,2.5,2.5,2.07,0,0,0,0
2023-04-06,木,清明,24,OFF SEASON,1.0,2.0,3.0,1.0,1.0,0.0,3,1.03,2.5,2.5,2.01,0,0,0,0
2023-04-07,金,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.0,0.0,3,1.34,2.5,2.5,2.11,0,0,0,0
2023-04-08,土,清明,24,OFF SEASON,1.0,2.0,5.0,1.0,1.0,0.0,3,1.86,2.5,2.5,2.29,0,0,0,0
2023-04-09,日,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.0,0.0,3,1.52,2.5,2.5,2.17,0,0,0,0
2023-04-10,月,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.0,0.0,3,1.12,2.5,2.5,2.04,0,0,0,0
2023-04-11,火,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.0,0.0,3,1.22,2.5,2.5,2.07,0,0,0,0
2023-04-12,水,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.0,0.0,3,1.2,2.5,2.5,2.07,0,0,0,0
2023-04-13,木,清明,24,OFF SEASON,1.0,2.0,3.0,1.0,1.0,0.0,3,1.03,2.5,2.5,2.01,0,0,0,0
2023-04-14,金,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.0,0.0,3,1.34,2.5,2.5,2.11,0,0,0,0
2023-04-15,土,清明,24,OFF SEASON,1.0,2.0,5.0,1.0,1.0,0.0,3,1.86,2.5,2.5,2.29,0,0,0,0
2023-04-16,日,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.0,0.0,3,1.52,2.5,2.5,2.17,0,0,0,0
2023-04-17,月,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.0,0.0,3,1.12,2.5,2.5,2.04,0,0,0,0
2023-04-18,火,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.0,0.0,3,1.22,2.5,2.5,2.07,0,0,0,0
2023-04-19,水,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.0,0.0,3,1.2,2.5,2.5,2.07,0,0,0,0
2023-04-20,木,穀雨,18,LOW SEASON,2.04,2.0,3.0,1.0,1.0,0.0,3,1.03,2.5,2.5,2.01,0,0,0,0
2023-04-21,金,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.0,1.0,0.0,3,1.34,2.5,2.5,2.11,0,0,0,0
2023-04-22,土,穀雨,18,LOW SEASON,2.04,2.0,5.0,1.0,1.0,0.0,3,1.86,2.5,2.5,2.29,0,0,0,0
2023-04-23,日,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.0,1.0,0.0,3,1.52,2.5,2.5,2.17,0,0,0,0
2023-04-24,月,穀雨,18,LOW SEASON,2.04,2.0,2.0,1.0,1.0,0.0,3,1.12,2.5,2.5,2.04,0,0,0,0
2023-04-25,火,穀雨,18,LOW SEASON,2.04,2.0,2.0,1.0,1.0,0.0,3,1.22,2.5,2.5,2.07,0,0,0,0
2023-04-26,水,穀雨,18,LOW SEASON,2.04,2.0,2.0,1.0,1.0,0.0,3,1.2,2.5,2.5,2.07,0,0,0,0
2023-04-27,木,穀雨,18,LOW SEASON,2.04,2.0,3.0,1.0,1.0,0.0,3,1.03,2.5,2.5,2.01,0,0,0,0
2023-04-28,金,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.0,1.0,0.0,3,1.34,2.5,2.5,2.11,0,0,0,0
2023-04-29,土,穀雨,18,LOW SEASON,2.04,2.0,5.0,1.0,1.0,4.0,4,2.79,2.5,2.5,2.6,0,0,0,0
2023-04-30,日,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.0,1.0,4.5,4,2.42,2.5,2.5,2.47,0,0,0,0
2023-05-01,月,穀雨,18,LOW SEASON,2.04,3.0,2.0,1.0,1.0,4.5,4,2.01,2.5,2.5,2.34,0,0,0,0
2023-05-02,火,穀雨,18,LOW SEASON,2.04,3.0,2.0,1.0,1.0,4.5,4,2.19,2.5,2.5,2.4,0,0,0,0
2023-05-03,水,穀雨,18,LOW SEASON,2.04,3.0,2.0,1.0,1.0,5.0,4,2.26,2.5,2.5,2.42,0,0,0,0
2023-05-04,木,穀雨,18,LOW SEASON,2.04,3.0,3.0,1.0,1.0,5.0,4,1.94,2.5,2.5,2.31,0,0,0,0
2023-05-05,金,穀雨,18,LOW SEASON,2.04,3.0,4.0,1.0,1.0,5.0,4,2.52,2.5,2.5,2.51,0,0,0,0
2023-05-06,土,立夏,13,FLOW SEASON,2.91,3.0,5.0,1.7,1.0,4.5,4,3.56,2.5,2.5,2.85,0,0,0,0
2023-05-07,日,立夏,13,FLOW SEASON,2.91,3.0,4.0,1.7,1.0,0.0,3,2.17,2.5,2.5,2.39,0,0,0,0
2023-05-08,月,立夏,13,FLOW SEASON,2.91,3.0,2.0,1.7,1.0,0.0,3,1.6,2.5,2.5,2.2,0,0,0,0
2023-05-09,火,立夏,13,FLOW SEASON,2.91,3.0,2.0,1.7,1.0,0.0,3,1.75,2.5,2.5,2.25,0,0,0,0
