date,weekday,sekki,rank,season,season_pt,monthly_idx,weekday_idx,sekki_idx,weekly_idx,daily_idx,layers_used,kf1,kf2,kf3,mp_point,predicted_sales,predicted_count,actual_sales,actual_count
2023-04-01,土,春分,17,LOW SEASON,2.22,1.0,5.0,1.88,2.04,0.0,3,2.18,2.5,2.74,2.47,0,0,0,0
2023-04-02,日,春分,17,LOW SEASON,2.22,1.0,4.0,1.88,2.04,0.0,3,1.87,2.5,2.74,2.37,0,0,0,0
2023-04-03,月,春分,17,LOW SEASON,2.22,1.0,2.0,1.88,1.62,0.0,3,1.1,2.5,2.74,2.11,0,0,0,0
2023-04-04,火,春分,17,LOW SEASON,2.22,1.0,2.0,1.88,1.62,0.0,3,1.27,2.5,2.74,2.17,0,0,0,0
2023-04-05,水,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.62,0.0,3,1.18,2.5,2.74,2.14,0,0,0,0
2023-04-06,木,清明,24,OFF SEASON,1.0,1.0,3.0,1.38,1.62,0.0,3,1.07,2.5,2.74,2.1,0,0,0,0
2023-04-07,金,清明,24,OFF SEASON,1.0,1.0,4.0,1.38,1.62,0.0,3,1.34,2.5,2.74,2.19,0,0,0,0
2023-04-08,土,清明,24,OFF SEASON,1.0,1.0,5.0,1.38,1.62,0.0,3,1.77,2.5,2.74,2.34,0,0,0,0
2023-04-09,日,清明,24,OFF SEASON,1.0,1.0,4.0,1.38,1.62,0.0,3,1.52,2.5,2.74,2.25,0,0,0,0
2023-04-10,月,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.21,0.0,3,1.0,2.5,2.74,2.08,0,0,0,0
2023-04-11,火,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.21,0.0,3,1.01,2.5,2.74,2.08,0,0,0,0
2023-04-12,水,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.21,0.0,3,1.07,2.5,2.74,2.1,0,0,0,0
2023-04-13,木,清明,24,OFF SEASON,1.0,1.0,3.0,1.38,1.21,0.0,3,1.0,2.5,2.74,2.08,0,0,0,0
