date,weekday,l_count,l_food,l_drink,l_total,l_avg,d_count,d_food,d_drink,d_total,d_avg,to_total,bq_count,bq_total,bg_count,bg_total,room_fee,grand_total
2023-04-01,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-02,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-03,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-06,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-07,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-09,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-10,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-11,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-12,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-13,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-14,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-15,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-16,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-17,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-18,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-19,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-20,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-21,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-22,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-23,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-24,月,10,16280,1800,18080,1808,10,0,0,0,0,16280,0,0,0,0,0,18080
2023-04-25,火,13,39325,7200,46525,3578,8,0,0,0,0,39325,0,0,0,0,0,46525
2023-04-26,水,24,54340,14400,68740,2864,14,0,0,0,0,54340,0,0,0,0,0,68740
2023-04-27,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-28,金,30,99000,1760,100760,3358,21,237070,99000,336070,16003,336070,0,0,0,0,0,436830
2023-04-29,土,30,137850,19090,156940,5231,26,251830,45830,297660,11448,389680,0,0,0,0,0,454600
2023-04-30,日,29,122760,23870,146630,5056,13,132160,29750,161910,12454,254920,0,0,0,0,0,308540
2023-05-01,月,32,103150,21670,124820,3900,4,38830,5330,44160,11040,141980,0,0,0,0,0,168980
2023-05-02,火,29,101170,13010,114180,3937,26,233970,54270,288240,11086,335140,0,0,0,0,0,402420
2023-05-03,水,25,98310,16810,115120,4604,30,348700,75330,424030,14134,447010,0,0,0,0,0,539150
2023-05-04,木,32,146680,16260,162940,5091,25,294030,57100,351130,14045,440710,0,0,0,0,0,514070
2023-05-05,金,32,152680,19730,172410,5387,19,212260,46910,259170,13640,364940,0,0,0,0,0,431580
2023-05-06,土,25,116980,31770,148750,5950,27,294300,35610,329910,12218,411280,0,0,0,0,0,478660
2023-05-07,日,36,166120,43430,209550,5820,2,25300,8470,33770,16885,191420,0,0,0,0,0,243320
2023-05-08,月,33,120010,14170,134180,4066,4,50200,5600,55800,13950,170210,0,0,0,0,0,189980
2023-05-09,火,30,123750,23130,146880,4896,2,12760,1590,14350,7175,136510,0,0,0,0,0,161230
2023-05-10,水,31,146630,19070,165700,5345,7,87350,24810,112160,16022,233980,0,0,0,0,0,277860
2023-05-11,木,38,147730,25400,173130,4556,20,172370,64040,236410,11820,320100,0,0,0,0,0,409540
2023-05-12,金,24,95160,10570,105730,4405,23,237170,70950,308120,13396,332330,0,0,0,0,0,413850
2023-05-13,土,27,120890,17820,138710,5137,35,394340,82210,476550,13615,515230,0,0,0,0,9900,625160
2023-05-14,日,28,124300,17780,142080,5074,11,130020,32450,162470,14770,254320,0,0,0,0,0,304550
2023-05-15,月,37,141820,22280,164100,4435,2,13560,8140,21700,10850,155380,0,0,0,0,0,185800
2023-05-16,火,29,116050,16200,132250,4560,12,109340,53240,162580,13548,225390,0,0,0,0,0,294830
2023-05-17,水,40,152160,23160,175320,4383,13,137170,48510,185680,14283,289330,0,0,0,0,7150,368150
2023-05-18,木,33,141350,7140,148490,4499,5,39160,27050,66210,13242,180510,71,379233,0,0,0,214700
2023-05-19,金,36,122540,12630,135170,3754,13,143880,32750,176630,13586,266420,0,0,0,0,0,311800
2023-05-20,土,33,131340,28780,160120,4852,12,141230,31790,173020,14418,272570,0,0,0,0,0,333140
2023-05-21,日,34,147910,28590,176500,5191,18,205100,52120,257220,14290,353010,0,0,0,0,2750,436470
2023-05-22,月,44,120850,9240,130090,2956,3,26400,44650,71050,23683,147250,12,62640,0,0,0,201140
2023-05-23,火,37,150840,16990,167830,4535,12,97270,21347,118617,9884,248110,0,0,0,0,0,286447
2023-05-24,水,34,122830,18410,141240,4154,12,123860,25830,149690,12474,246690,0,0,0,0,2200,293130
2023-05-25,木,30,119240,5330,124570,4152,17,213620,54110,267730,15748,332860,27,187920,0,0,1000,393300
2023-05-26,金,27,88990,4160,93150,3450,16,170200,35490,205690,12855,259190,65,237075,0,0,3300,302140
2023-05-27,土,29,133540,18240,151780,5233,27,273680,52930,326610,12096,407220,0,0,247,247,0,478390
2023-05-28,日,23,95920,18000,113920,4953,9,102520,19560,122080,13564,198440,0,0,130,130,2750,238750
2023-05-29,月,17,52800,3900,56700,3335,21,195250,61570,256820,12229,248050,10,52200,40,40,0,313520
2023-05-30,火,30,110990,7080,118070,3935,12,116600,28980,145580,12131,227590,0,0,19,19,0,263650
2023-05-31,水,35,126280,8770,135050,3858,17,44660,31900,76560,4503,170940,0,0,70,70,0,211610
2023-06-01,木,29,103620,5370,108990,3758,10,132000,39500,171500,17150,6350,66,287100,122,122,0,280490
2023-06-02,金,29,99440,16000,115440,3980,20,216920,77910,294830,14741,5900,0,0,86,86,0,410270
2023-06-03,土,30,117040,13780,130820,4360,21,195800,59500,255300,12157,15950,0,0,89,89,3300,389420
2023-06-04,日,32,140030,35760,175790,5493,11,116710,21520,138230,12566,7150,0,0,65,65,10450,324470
2023-06-05,月,33,119240,13850,133090,4033,6,91740,8690,100430,16738,3250,0,0,29,29,0,236820
2023-06-06,火,34,128920,24850,153770,4522,13,156700,59880,216580,16660,5600,0,0,63,63,9350,379700
2023-06-07,水,29,93870,5920,99790,3441,7,80850,31130,111980,15997,2250,0,0,43,43,5500,217270
2023-06-08,木,34,123860,10960,134820,3965,18,169960,29860,199820,11101,3150,0,0,132,132,9900,344540
2023-06-09,金,31,115060,7950,123010,3968,26,300560,61740,362300,13934,8200,0,0,44,44,1100,486410
2023-06-10,土,32,135520,15830,151350,4729,24,244640,49030,293670,12236,9450,0,0,251,251,6600,451620
2023-06-11,日,26,118800,19700,138500,5326,16,137170,32530,169700,10606,7950,0,0,357,357,2200,310400
2023-06-12,月,38,145680,11730,157410,4142,10,101970,18190,120160,12016,3600,0,0,133,133,7700,285270
2023-06-13,火,25,93940,5500,99440,3977,13,106920,38770,145690,11206,5150,0,0,82,82,0,245130
2023-06-14,水,39,175450,29520,204970,5255,9,62260,12470,74730,8303,7000,22,153120,140,140,6600,286300
2023-06-15,木,31,107360,39110,146470,4724,3,19140,8470,27610,9203,3000,0,0,302,302,1100,175180
2023-06-16,金,32,111320,7690,119010,3719,28,288200,91450,379650,13558,7800,0,0,219,219,5500,504160
2023-06-17,土,32,151250,32090,183340,5729,33,310340,75950,386290,11705,8700,0,0,443,443,9900,579530
2023-06-18,日,31,144430,12290,156720,5055,12,139980,34430,174410,14534,4650,0,0,137,137,3300,334430
2023-06-19,月,36,130570,13110,143680,3991,4,44000,7970,51970,12992,5500,31,215760,132,132,1650,197300
2023-06-20,火,40,133870,20660,154530,3863,16,144210,37450,181660,11353,3150,6,5481,169,169,4950,341140
2023-06-21,水,30,130570,32440,163010,5433,21,216700,38980,255680,12175,4700,0,0,200,200,12650,431340
2023-06-22,木,34,120670,15930,136600,4017,16,166050,39750,205800,12862,5150,0,0,149,149,1100,343500
