date,weekday,sekki,level,season,season_pt,kf1_constant,weekday_idx,mp_sekki,l_count,d_count,total_count,grand_total
2023-04-01,土,春分,20,LOW SEASON,1.83,2.62,5.00,3.46,0,0,0,0
2023-04-02,日,春分,20,LOW SEASON,1.83,2.62,4.00,3.46,0,0,0,0
2023-04-03,月,春分,20,LOW SEASON,1.83,2.62,2.00,3.46,0,0,0,0
2023-04-04,火,春分,20,LOW SEASON,1.83,2.62,2.00,3.46,0,0,0,0
2023-04-05,水,清明,24,OFF SEASON,1.17,2.62,2.00,3.01,0,0,0,0
2023-04-06,木,清明,24,OFF SEASON,1.17,2.62,3.00,3.01,0,0,0,0
2023-04-07,金,清明,24,OFF SEASON,1.17,2.62,4.00,3.01,0,0,0,0
2023-04-08,土,清明,24,OFF SEASON,1.17,2.62,5.00,3.01,0,0,0,0
2023-04-09,日,清明,24,OFF SEASON,1.17,2.62,4.00,3.01,0,0,0,0
2023-04-10,月,清明,24,OFF SEASON,1.17,2.62,2.00,3.01,0,0,0,0
2023-04-11,火,清明,24,OFF SEASON,1.17,2.62,2.00,3.01,0,0,0,0
2023-04-12,水,清明,24,OFF SEASON,1.17,2.62,2.00,3.01,0,0,0,0
2023-04-13,木,清明,24,OFF SEASON,1.17,2.62,3.00,3.01,0,0,0,0
2023-04-14,金,清明,24,OFF SEASON,1.17,2.62,4.00,3.01,0,0,0,0
2023-04-15,土,清明,24,OFF SEASON,1.17,2.62,5.00,3.01,0,0,0,0
2023-04-16,日,清明,24,OFF SEASON,1.17,2.62,4.00,3.01,0,0,0,0
2023-04-17,月,清明,24,OFF SEASON,1.17,2.62,2.00,3.01,0,0,0,0
2023-04-18,火,清明,24,OFF SEASON,1.17,2.62,2.00,3.01,0,0,0,0
2023-04-19,水,清明,24,OFF SEASON,1.17,2.62,2.00,3.01,0,0,0,0
2023-04-20,木,穀雨,23,OFF SEASON,1.33,2.62,3.00,3.19,0,0,0,0
2023-04-21,金,穀雨,23,OFF SEASON,1.33,2.62,4.00,3.19,0,0,0,0
2023-04-22,土,穀雨,23,OFF SEASON,1.33,2.62,5.00,3.19,0,0,0,0
