date,weekday,sekki,rank,season,season_pt,monthly_idx,weekday_idx,sekki_idx,weekly_idx,daily_idx,layers_used,kf1,kf2,kf3,mp_point,predicted_sales,predicted_count,actual_sales,actual_count
2023-04-01,土,春分,17,LOW SEASON,2.22,2.0,5.0,1.12,1.13,0.0,3,1.86,1.28,1.29,1.48,0,0,0,0
2023-04-02,日,春分,17,LOW SEASON,2.22,2.0,4.0,1.12,1.13,0.0,3,1.65,1.28,1.29,1.41,0,0,0,0
2023-04-03,月,春分,17,LOW SEASON,2.22,2.0,2.0,1.12,1.0,0.0,3,1.15,1.28,1.29,1.24,0,0,0,0
2023-04-04,火,春分,17,LOW SEASON,2.22,2.0,2.0,1.12,1.0,0.0,3,1.2,1.28,1.29,1.26,0,0,0,0
2023-04-05,水,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.0,0.0,3,1.25,1.28,1.29,1.27,0,0,0,0
2023-04-06,木,清明,24,OFF SEASON,1.0,2.0,3.0,1.0,1.0,0.0,3,1.16,1.28,1.29,1.24,0,0,0,0
2023-04-07,金,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.0,0.0,3,1.32,1.28,1.29,1.3,0,0,0,0
2023-04-08,土,清明,24,OFF SEASON,1.0,2.0,5.0,1.0,1.0,0.0,3,1.74,1.28,1.29,1.44,0,0,0,0
2023-04-09,日,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.0,0.0,3,1.55,1.28,1.29,1.37,0,0,0,0
2023-04-10,月,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.06,0.0,3,1.14,1.28,1.29,1.24,0,0,0,0
2023-04-11,火,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.06,0.0,3,1.18,1.28,1.29,1.25,0,0,0,0
2023-04-12,水,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.06,0.0,3,1.27,1.28,1.29,1.28,0,0,0,0
2023-04-13,木,清明,24,OFF SEASON,1.0,2.0,3.0,1.0,1.06,0.0,3,1.18,1.28,1.29,1.25,0,0,0,0
2023-04-14,金,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.06,0.0,3,1.34,1.28,1.29,1.3,0,0,0,0
2023-04-15,土,清明,24,OFF SEASON,1.0,2.0,5.0,1.0,1.06,0.0,3,1.76,1.28,1.29,1.44,0,0,0,0
2023-04-16,日,清明,24,OFF SEASON,1.0,2.0,4.0,1.0,1.06,0.0,3,1.57,1.28,1.29,1.38,0,0,0,0
2023-04-17,月,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.02,0.0,3,1.13,1.28,1.29,1.23,0,0,0,0
2023-04-18,火,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.02,0.0,3,1.17,1.28,1.29,1.25,0,0,0,0
2023-04-19,水,清明,24,OFF SEASON,1.0,2.0,2.0,1.0,1.02,0.0,3,1.26,1.28,1.29,1.28,0,0,0,0
2023-04-20,木,穀雨,18,LOW SEASON,2.04,2.0,3.0,1.18,1.02,0.0,3,1.22,1.28,1.29,1.26,0,0,0,0
2023-04-21,金,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.18,1.02,0.0,3,1.39,1.28,1.29,1.32,0,0,0,0
2023-04-22,土,穀雨,18,LOW SEASON,2.04,2.0,5.0,1.18,1.02,0.0,3,1.83,1.28,1.29,1.47,0,0,0,0
2023-04-23,日,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.18,1.02,0.0,3,1.63,1.28,1.29,1.4,0,0,0,0
2023-04-24,月,穀雨,18,LOW SEASON,2.04,2.0,2.0,1.18,1.06,0.0,3,1.19,1.28,1.29,1.25,0,0,18080,20
2023-04-25,火,穀雨,18,LOW SEASON,2.04,2.0,2.0,1.18,1.06,0.0,3,1.24,1.28,1.29,1.27,0,0,46525,21
2023-04-26,水,穀雨,18,LOW SEASON,2.04,2.0,2.0,1.18,1.06,0.0,3,1.32,1.28,1.29,1.3,0,0,68740,38
2023-04-27,木,穀雨,18,LOW SEASON,2.04,2.0,3.0,1.18,1.06,0.0,3,1.23,1.28,1.29,1.27,0,0,0,0
2023-04-28,金,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.18,1.06,0.0,3,1.4,1.28,1.29,1.32,0,0,436830,51
2023-04-29,土,穀雨,18,LOW SEASON,2.04,2.0,5.0,1.18,1.06,4.0,4,2.69,1.28,1.29,1.75,0,0,454600,56
2023-04-30,日,穀雨,18,LOW SEASON,2.04,2.0,4.0,1.18,1.06,4.5,4,2.55,1.28,1.29,1.71,0,0,308540,42
2023-05-01,月,穀雨,18,LOW SEASON,2.04,4.0,2.0,1.18,1.34,4.5,4,2.32,2.29,2.04,2.22,0,0,168980,36
2023-05-02,火,穀雨,18,LOW SEASON,2.04,4.0,2.0,1.18,1.34,4.5,4,2.41,2.29,2.04,2.25,0,0,402420,55
2023-05-03,水,穀雨,18,LOW SEASON,2.04,4.0,2.0,1.18,1.34,5.0,4,2.7,2.29,2.04,2.34,0,0,539150,55
2023-05-04,木,穀雨,18,LOW SEASON,2.04,4.0,3.0,1.18,1.34,5.0,4,2.52,2.29,2.04,2.28,0,0,514070,57
