date,weekday,l_count,l_food,l_drink,l_total,l_avg,d_count,d_food,d_drink,d_total,d_avg,to_total,rest_total,seat_fee,lock_fee,flower,curry,grand_total
2023-04-01,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-02,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-03,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-06,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-07,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-09,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-10,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-11,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-12,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-13,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-14,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-15,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-16,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-17,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-18,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-19,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-20,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-21,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-22,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-23,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-24,月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-25,火,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-26,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-27,木,0,0,0,0,0,18,171270,24820,196090,10893,37850,196090,12100,1650,3300,0,250990
2023-04-28,金,0,0,0,0,0,29,291920,42720,334640,11539,92500,334640,11000,3300,3300,0,444740
2023-04-29,土,22,42790,9660,52450,2384,42,396970,92330,489300,11650,114750,541750,15400,1650,0,0,673550
2023-04-30,日,29,78320,13630,91950,3170,32,304700,37030,341730,10679,130400,433680,19800,1650,0,0,585530
2023-05-01,月,25,55550,13900,69450,2778,29,246400,47060,293460,10119,89500,362910,17050,39650,0,0,509110
2023-05-02,火,23,62040,11210,73250,3184,41,370020,58840,428860,10460,134900,502110,17600,4070,0,0,658680
2023-05-03,水,40,144650,17690,162340,4058,35,299310,53980,353290,10094,237550,515630,17050,0,0,0,770230
2023-05-04,木,30,96360,17060,113420,3780,39,354310,73990,428300,10982,277950,541720,20900,0,0,0,840570
2023-05-05,金,24,91740,20760,112500,4687,40,290180,78260,368440,9211,231700,480940,18150,2860,3300,0,736950
2023-05-06,土,12,46310,10820,57130,4760,20,226050,39320,265370,13268,68700,322500,17050,1650,0,0,409900
2023-05-07,日,17,46640,3250,49890,2934,27,280280,64540,344820,12771,155500,394710,15950,0,0,0,566160
2023-05-08,月,0,0,0,0,0,30,260700,43140,303840,10128,56150,303840,16500,105000,0,0,481490
2023-05-09,火,0,0,0,0,0,26,226820,33190,260010,10000,58600,260010,17050,3300,0,0,338960
2023-05-10,水,17,232540,31400,263940,15525,32,313940,43290,357230,11163,69900,621170,19800,3300,0,0,714170
2023-05-11,木,0,0,0,0,0,21,213620,30330,243950,11616,72050,243950,17600,0,0,0,333600
2023-05-12,金,0,0,0,0,0,42,375320,85320,460640,10967,58650,460640,17600,0,0,0,536890
2023-05-13,土,26,87450,23690,111140,4274,43,403370,40860,444230,10330,109800,555370,18150,5610,0,0,688930
2023-05-14,日,22,78980,10320,89300,4059,26,193350,43850,237200,9123,158750,326500,13750,1980,0,0,500980
2023-05-15,月,0,0,0,0,0,22,209660,32240,241900,10995,13500,241900,19800,1210,0,0,276410
2023-05-16,火,0,0,0,0,0,38,342540,56640,399180,10504,69900,399180,28600,62000,0,0,559680
2023-05-17,水,0,0,0,0,0,37,334510,74340,408850,11050,54200,408850,26400,0,0,0,489450
2023-05-18,木,0,0,0,0,0,22,231880,41370,273250,12420,53400,273250,15400,3300,0,0,345350
2023-05-19,金,0,0,0,0,0,40,393690,41220,434910,10872,77000,434910,18150,1980,0,0,532040
2023-05-20,土,22,77710,22960,100670,4575,37,301620,50130,351750,9506,137300,452420,24200,0,0,0,613920
2023-05-21,日,7,25190,4010,29200,4171,28,266090,41810,307900,10996,36000,337100,11550,1650,3300,0,389600
2023-05-22,月,0,0,0,0,0,21,200420,37700,238120,11339,35950,238120,15400,56300,0,0,345770
2023-05-23,火,28,93340,16200,109540,3912,40,359920,51260,411180,10279,74350,520720,25850,0,0,0,620920
2023-05-24,水,0,0,0,0,0,30,186560,15950,202510,6750,73200,202510,0,0,0,0,275710
2023-05-25,木,0,0,0,0,0,25,252560,43520,296080,11843,99450,296080,18700,0,0,0,414230
2023-05-26,金,28,96740,16800,113540,4055,27,259380,30970,290350,10753,66250,403890,13750,0,0,0,483890
2023-05-27,土,22,89210,1200,90410,4109,32,263120,51030,314150,9817,204300,404560,32450,1980,0,0,643290
2023-05-28,日,30,100320,16200,116520,3884,25,238260,28610,266870,10674,127300,383390,20350,3300,3300,0,537640
2023-05-29,月,0,0,0,0,0,33,320540,64360,384900,11663,70750,384900,15950,58630,3300,0,533530
2023-05-30,火,0,0,0,0,0,28,304900,38300,343200,12257,49750,343200,18150,1210,0,0,412310
2023-05-31,水,0,0,0,0,0,30,335610,58390,394000,13133,124900,394000,11000,1650,0,0,531550
2023-06-01,木,0,0,0,0,0,37,280280,75100,355380,9604,96750,355380,20900,0,0,0,473030
2023-06-02,金,0,0,0,0,0,29,283030,45750,328780,11337,40250,328780,23650,0,0,0,392680
2023-06-03,土,20,84480,18680,103160,5158,39,344850,52860,397710,10197,34500,500870,26400,0,0,0,561770
2023-06-04,日,23,65120,10610,75730,3292,38,245120,100320,345440,9090,71050,421170,0,0,0,0,492220
2023-06-05,月,0,0,0,0,0,29,242770,52130,294900,10168,65400,294900,25850,54650,0,0,440800
2023-06-06,火,12,40260,20080,60340,5028,25,239470,47940,287410,11496,56500,347750,10450,0,0,0,414700
2023-06-07,水,0,0,0,0,0,23,157080,93190,250270,10881,15350,250270,7700,0,0,0,273320
2023-06-08,木,0,0,0,0,0,28,273460,40050,313510,11196,85550,313510,22000,1650,0,0,422710
2023-06-09,金,0,0,0,0,0,22,201740,39450,241190,10963,550,241190,11000,0,0,0,252740
2023-06-10,土,24,75130,12850,87980,3665,35,309650,39480,349130,9975,78250,437110,28050,4400,0,0,547810
2023-06-11,日,27,91960,15210,107170,3969,36,293040,51680,344720,9575,143700,451890,26400,4070,0,0,626060
2023-06-12,月,0,0,0,0,0,25,231000,48930,279930,11197,88350,279930,20900,96000,0,0,485180
2023-06-13,火,0,0,0,0,0,30,301840,76780,378620,12620,16500,378620,18700,1210,0,0,415030
2023-06-14,水,0,0,0,0,0,36,356840,78470,435310,12091,34600,435310,25850,0,0,0,495760
2023-06-15,木,0,0,0,0,0,34,296780,103830,400610,11782,38000,400610,3850,0,0,0,442460
2023-06-16,金,0,0,0,0,0,29,233420,86600,320020,11035,89550,320020,0,0,0,0,409570
2023-06-17,土,29,90640,15110,105750,3646,37,342210,52280,394490,10661,104550,500240,26950,0,0,0,631740
2023-06-18,日,29,112640,15770,128410,4427,25,234300,40300,274600,10984,69450,403010,34100,0,0,0,506560
2023-06-19,月,0,0,0,0,0,29,235840,29400,265240,9146,58550,265240,12100,41650,0,0,377540
2023-06-20,火,33,132000,0,132000,4000,28,268840,27810,296650,10594,74700,428650,20900,0,0,0,524250
2023-06-21,水,0,0,0,0,0,35,380160,58080,438240,12521,73000,438240,19250,0,0,0,530490
2023-06-22,木,0,0,0,0,0,35,313280,41650,354930,10140,48600,354930,26400,1980,0,0,431910
