date,weekday,sekki,level,season,season_pt,kf1_constant,weekday_idx,mp_sekki,l_count,d_count,total_count,grand_total
2023-04-01,土,春分,17,LOW SEASON,2.33,2.72,5.00,3.86,0,0,0,0
2023-04-02,日,春分,17,LOW SEASON,2.33,2.72,4.00,3.86,0,0,0,0
2023-04-03,月,春分,17,LOW SEASON,2.33,2.72,2.00,3.86,0,0,0,0
2023-04-04,火,春分,17,LOW SEASON,2.33,2.72,2.00,3.86,0,0,0,0
2023-04-05,水,清明,24,OFF SEASON,1.17,2.72,2.00,2.37,0,0,0,0
2023-04-06,木,清明,24,OFF SEASON,1.17,2.72,3.00,2.37,0,0,0,0
2023-04-07,金,清明,24,OFF SEASON,1.17,2.72,4.00,2.37,0,0,0,0
2023-04-08,土,清明,24,OFF SEASON,1.17,2.72,5.00,2.37,0,0,0,0
2023-04-09,日,清明,24,OFF SEASON,1.17,2.72,4.00,2.37,0,0,0,0
2023-04-10,月,清明,24,OFF SEASON,1.17,2.72,2.00,2.37,0,0,0,0
2023-04-11,火,清明,24,OFF SEASON,1.17,2.72,2.00,2.37,0,0,0,0
2023-04-12,水,清明,24,OFF SEASON,1.17,2.72,2.00,2.37,0,0,0,0
2023-04-13,木,清明,24,OFF SEASON,1.17,2.72,3.00,2.37,0,0,0,0
2023-04-14,金,清明,24,OFF SEASON,1.17,2.72,4.00,2.37,0,0,0,0
2023-04-15,土,清明,24,OFF SEASON,1.17,2.72,5.00,2.37,0,0,0,0
2023-04-16,日,清明,24,OFF SEASON,1.17,2.72,4.00,2.37,0,0,0,0
2023-04-17,月,清明,24,OFF SEASON,1.17,2.72,2.00,2.37,0,0,0,0
2023-04-18,火,清明,24,OFF SEASON,1.17,2.72,2.00,2.37,0,0,0,0
2023-04-19,水,清明,24,OFF SEASON,1.17,2.72,2.00,2.37,0,0,0,0
2023-04-20,木,穀雨,18,LOW SEASON,2.17,2.72,3.00,3.82,0,0,0,0
2023-04-21,金,穀雨,18,LOW SEASON,2.17,2.72,4.00,3.82,0,0,0,0
2023-04-22,土,穀雨,18,LOW SEASON,2.17,2.72,5.00,3.82,0,0,0,0
2023-04-23,日,穀雨,18,LOW SEASON,2.17,2.72,4.00,3.82,0,0,0,0
2023-04-24,月,穀雨,18,LOW SEASON,2.17,2.72,2.00,3.82,0,0,0,0
2023-04-25,火,穀雨,18,LOW SEASON,2.17,2.72,2.00,3.82,0,0,0,0
2023-04-26,水,穀雨,18,LOW SEASON,2.17,2.72,2.00,3.82,0,0,0,0
2023-04-27,木,穀雨,18,LOW SEASON,2.17,2.72,3.00,3.82,0,18,18,213140
2023-04-28,金,穀雨,18,LOW SEASON,2.17,2.72,4.00,3.82,0,29,29,352240
2023-04-29,土,穀雨,18,LOW SEASON,2.17,2.72,5.00,3.82,22,42,64,558800
2023-04-30,日,穀雨,18,LOW SEASON,2.17,2.72,4.00,3.82,29,32,61,455130
2023-05-01,月,穀雨,18,LOW SEASON,2.17,3.42,2.00,3.82,25,29,54,419610
2023-05-02,火,穀雨,18,LOW SEASON,2.17,3.42,2.00,3.82,23,41,64,523780
2023-05-03,水,穀雨,18,LOW SEASON,2.17,3.42,2.00,3.82,40,35,75,532680
2023-05-04,木,穀雨,18,LOW SEASON,2.17,3.42,3.00,3.82,30,39,69,562620
2023-05-05,金,立夏,13,FLOW SEASON,3.00,3.42,4.00,4.06,24,40,64,505250
2023-05-06,土,立夏,13,FLOW SEASON,3.00,3.42,5.00,4.06,12,20,32,341200
2023-05-07,日,立夏,13,FLOW SEASON,3.00,3.42,4.00,4.06,17,27,44,410660
2023-05-08,月,立夏,13,FLOW SEASON,3.00,3.42,2.00,4.06,0,30,30,425340
2023-05-09,火,立夏,13,FLOW SEASON,3.00,3.42,2.00,4.06,0,26,26,280360
2023-05-10,水,立夏,13,FLOW SEASON,3.00,3.42,2.00,4.06,17,32,49,644270
2023-05-11,木,立夏,13,FLOW SEASON,3.00,3.42,3.00,4.06,0,21,21,261550
2023-05-12,金,立夏,13,FLOW SEASON,3.00,3.42,4.00,4.06,0,42,42,478240
2023-05-13,土,立夏,13,FLOW SEASON,3.00,3.42,5.00,4.06,26,43,69,579130
2023-05-14,日,立夏,13,FLOW SEASON,3.00,3.42,4.00,4.06,22,26,48,342230
2023-05-15,月,立夏,13,FLOW SEASON,3.00,3.42,2.00,4.06,0,22,22,262910
2023-05-16,火,立夏,13,FLOW SEASON,3.00,3.42,2.00,4.06,0,38,38,489780
2023-05-17,水,立夏,13,FLOW SEASON,3.00,3.42,2.00,4.06,0,37,37,435250
2023-05-18,木,立夏,13,FLOW SEASON,3.00,3.42,3.00,4.06,0,22,22,291950
2023-05-19,金,立夏,13,FLOW SEASON,3.00,3.42,4.00,4.06,0,40,40,455040
2023-05-20,土,立夏,13,FLOW SEASON,3.00,3.42,5.00,4.06,22,37,59,476620
2023-05-21,日,小満,14,FLOW SEASON,2.83,3.42,4.00,4.02,7,28,35,353600
2023-05-22,月,小満,14,FLOW SEASON,2.83,3.42,2.00,4.02,0,21,21,309820
2023-05-23,火,小満,14,FLOW SEASON,2.83,3.42,2.00,4.02,28,40,68,546570
2023-05-24,水,小満,14,FLOW SEASON,2.83,3.42,2.00,4.02,0,30,30,202510
2023-05-25,木,小満,14,FLOW SEASON,2.83,3.42,3.00,4.02,0,25,25,314780
2023-05-26,金,小満,14,FLOW SEASON,2.83,3.42,4.00,4.02,28,27,55,417640
2023-05-27,土,小満,14,FLOW SEASON,2.83,3.42,5.00,4.02,22,32,54,438990
2023-05-28,日,小満,14,FLOW SEASON,2.83,3.42,4.00,4.02,30,25,55,410340
2023-05-29,月,小満,14,FLOW SEASON,2.83,3.42,2.00,4.02,0,33,33,462780
2023-05-30,火,小満,14,FLOW SEASON,2.83,3.42,2.00,4.02,0,28,28,362560
2023-05-31,水,小満,14,FLOW SEASON,2.83,3.42,2.00,4.02,0,30,30,406650
2023-06-01,木,小満,14,FLOW SEASON,2.83,3.64,3.00,4.02,0,37,37,376280
2023-06-02,金,小満,14,FLOW SEASON,2.83,3.64,4.00,4.02,0,29,29,352430
2023-06-03,土,小満,14,FLOW SEASON,2.83,3.64,5.00,4.02,20,39,59,527270
2023-06-04,日,小満,14,FLOW SEASON,2.83,3.64,4.00,4.02,23,38,61,421170
2023-06-05,月,小満,14,FLOW SEASON,2.83,3.64,2.00,4.02,0,29,29,375400
2023-06-06,火,芒種,10,HIGH SEASON,3.50,3.64,2.00,4.35,12,25,37,358200
2023-06-07,水,芒種,10,HIGH SEASON,3.50,3.64,2.00,4.35,0,23,23,257970
2023-06-08,木,芒種,10,HIGH SEASON,3.50,3.64,3.00,4.35,0,28,28,337160
2023-06-09,金,芒種,10,HIGH SEASON,3.50,3.64,4.00,4.35,0,22,22,252190
2023-06-10,土,芒種,10,HIGH SEASON,3.50,3.64,5.00,4.35,24,35,59,469560
2023-06-11,日,芒種,10,HIGH SEASON,3.50,3.64,4.00,4.35,27,36,63,482360
2023-06-12,月,芒種,10,HIGH SEASON,3.50,3.64,2.00,4.35,0,25,25,396830
2023-06-13,火,芒種,10,HIGH SEASON,3.50,3.64,2.00,4.35,0,30,30,398530
2023-06-14,水,芒種,10,HIGH SEASON,3.50,3.64,2.00,4.35,0,36,36,461160
2023-06-15,木,芒種,10,HIGH SEASON,3.50,3.64,3.00,4.35,0,34,34,404460
2023-06-16,金,芒種,10,HIGH SEASON,3.50,3.64,4.00,4.35,0,29,29,320020
