date,weekday,sekki,rank,season,season_pt,monthly_idx,weekday_idx,sekki_idx,weekly_idx,daily_idx,layers_used,kf1,kf2,kf3,mp_point,predicted_sales,predicted_count,actual_sales,actual_count
2023-04-01,土,春分,17,LOW SEASON,2.22,1.0,5.0,2.94,3.23,0.0,4,3.04,2.79,3.71,3.18,0,0,0,0
2023-04-02,日,春分,17,LOW SEASON,2.22,1.0,4.0,2.94,3.23,0.0,4,2.79,2.79,3.71,3.1,0,0,0,0
2023-04-03,月,春分,17,LOW SEASON,2.22,1.0,2.0,2.94,1.0,0.0,4,1.73,2.79,3.71,2.74,0,0,0,0
2023-04-04,火,春分,17,LOW SEASON,2.22,1.0,2.0,2.94,1.0,0.0,4,1.73,2.79,3.71,2.74,0,0,0,0
2023-04-05,水,清明,24,OFF SEASON,1.0,1.0,2.0,1.0,1.0,0.0,4,1.25,2.79,3.71,2.58,0,0,0,0
2023-04-06,木,清明,24,OFF SEASON,1.0,1.0,3.0,1.0,1.0,0.0,4,1.5,2.79,3.71,2.67,0,0,0,0
2023-04-07,金,清明,24,OFF SEASON,1.0,1.0,4.0,1.0,1.0,0.0,4,1.75,2.79,3.71,2.75,0,0,0,0
2023-04-08,土,清明,24,OFF SEASON,1.0,1.0,5.0,1.0,1.0,0.0,4,2.0,2.79,3.71,2.83,0,0,0,0
2023-04-09,日,清明,24,OFF SEASON,1.0,1.0,4.0,1.0,1.0,0.0,4,1.75,2.79,3.71,2.75,0,0,0,0
2023-04-10,月,清明,24,OFF SEASON,1.0,1.0,2.0,1.0,1.0,0.0,4,1.25,2.79,3.71,2.58,0,0,0,0
2023-04-11,火,清明,24,OFF SEASON,1.0,1.0,2.0,1.0,1.0,0.0,4,1.25,2.79,3.71,2.58,0,0,0,0
2023-04-12,水,清明,24,OFF SEASON,1.0,1.0,2.0,1.0,1.0,0.0,4,1.25,2.79,3.71,2.58,0,0,0,0
2023-04-13,木,清明,24,OFF SEASON,1.0,1.0,3.0,1.0,1.0,0.0,4,1.5,2.79,3.71,2.67,0,0,0,0
2023-04-14,金,清明,24,OFF SEASON,1.0,1.0,4.0,1.0,1.0,0.0,4,1.75,2.79,3.71,2.75,0,0,0,0
2023-04-15,土,清明,24,OFF SEASON,1.0,1.0,5.0,1.0,1.0,0.0,4,2.0,2.79,3.71,2.83,0,0,0,0
2023-04-16,日,清明,24,OFF SEASON,1.0,1.0,4.0,1.0,1.0,0.0,4,1.75,2.79,3.71,2.75,0,0,0,0
2023-04-17,月,清明,24,OFF SEASON,1.0,1.0,2.0,1.0,2.4,0.0,4,1.6,2.79,3.71,2.7,0,0,0,0
2023-04-18,火,清明,24,OFF SEASON,1.0,1.0,2.0,1.0,2.4,0.0,4,1.6,2.79,3.71,2.7,0,0,0,0
2023-04-19,水,清明,24,OFF SEASON,1.0,1.0,2.0,1.0,2.4,0.0,4,1.6,2.79,3.71,2.7,0,0,0,0
2023-04-20,木,穀雨,18,LOW SEASON,2.04,1.0,3.0,2.82,2.4,0.0,4,2.31,2.79,3.71,2.94,0,0,0,0
2023-04-21,金,穀雨,18,LOW SEASON,2.04,1.0,4.0,2.82,2.4,0.0,4,2.56,2.79,3.71,3.02,0,0,0,0
2023-04-22,土,穀雨,18,LOW SEASON,2.04,1.0,5.0,2.82,2.4,0.0,4,2.81,2.79,3.71,3.1,0,0,0,0
2023-04-23,日,穀雨,18,LOW SEASON,2.04,1.0,4.0,2.82,2.4,0.0,4,2.56,2.79,3.71,3.02,0,0,0,0
2023-04-24,月,穀雨,18,LOW SEASON,2.04,1.0,2.0,2.82,3.02,0.0,4,2.21,2.79,3.71,2.9,0,0,0,0
2023-04-25,火,穀雨,18,LOW SEASON,2.04,1.0,2.0,2.82,3.02,0.0,4,2.21,2.79,3.71,2.9,0,0,0,0
2023-04-26,水,穀雨,18,LOW SEASON,2.04,1.0,2.0,2.82,3.02,0.0,4,2.21,2.79,3.71,2.9,0,0,0,0
2023-04-27,木,穀雨,18,LOW SEASON,2.04,1.0,3.0,2.82,3.02,0.0,4,2.46,2.79,3.71,2.99,0,0,250990,18
2023-04-28,金,穀雨,18,LOW SEASON,2.04,1.0,4.0,2.82,3.02,0.0,4,2.71,2.79,3.71,3.07,0,0,444740,29
2023-04-29,土,穀雨,18,LOW SEASON,2.04,1.0,5.0,2.82,3.02,4.0,5,3.17,2.79,3.71,3.22,0,0,673550,64
2023-04-30,日,穀雨,18,LOW SEASON,2.04,1.0,4.0,2.82,3.02,4.5,5,3.07,2.79,3.71,3.19,0,0,585530,61
2023-05-01,月,穀雨,18,LOW SEASON,2.04,3.0,2.0,2.82,4.22,4.5,5,3.31,3.16,3.75,3.41,0,0,509110,54
2023-05-02,火,穀雨,18,LOW SEASON,2.04,3.0,2.0,2.82,4.22,4.5,5,3.31,3.16,3.75,3.41,0,0,658680,64
2023-05-03,水,穀雨,18,LOW SEASON,2.04,3.0,2.0,2.82,4.22,5.0,5,3.41,3.16,3.75,3.44,0,0,770230,75
2023-05-04,木,穀雨,18,LOW SEASON,2.04,3.0,3.0,2.82,4.22,5.0,5,3.61,3.16,3.75,3.51,0,0,840570,69
2023-05-05,金,穀雨,18,LOW SEASON,2.04,3.0,4.0,2.82,4.22,5.0,5,3.81,3.16,3.75,3.57,0,0,736950,64
2023-05-06,土,立夏,13,FLOW SEASON,2.91,3.0,5.0,3.19,4.22,4.5,5,3.98,3.16,3.75,3.63,0,0,409900,32
2023-05-07,日,立夏,13,FLOW SEASON,2.91,3.0,4.0,3.19,4.22,0.0,4,3.6,3.16,3.75,3.5,0,0,566160,44
2023-05-08,月,立夏,13,FLOW SEASON,2.91,3.0,2.0,3.19,3.63,0.0,4,2.96,3.16,3.75,3.29,509110,54,481490,30
2023-05-09,火,立夏,13,FLOW SEASON,2.91,3.0,2.0,3.19,3.63,0.0,4,2.96,3.16,3.75,3.29,658680,64,338960,26
2023-05-10,水,立夏,13,FLOW SEASON,2.91,3.0,2.0,3.19,3.63,0.0,4,2.96,3.16,3.75,3.29,770230,75,714170,49
2023-05-11,木,立夏,13,FLOW SEASON,2.91,3.0,3.0,3.19,3.63,0.0,4,3.21,3.16,3.75,3.37,840570,69,333600,21
2023-05-12,金,立夏,13,FLOW SEASON,2.91,3.0,4.0,3.19,3.63,0.0,4,3.46,3.16,3.75,3.46,736950,64,536890,42
2023-05-13,土,立夏,13,FLOW SEASON,2.91,3.0,5.0,3.19,3.63,0.0,4,3.71,3.16,3.75,3.54,409900,32,688930,69
2023-05-14,日,立夏,13,FLOW SEASON,2.91,3.0,4.0,3.19,3.63,0.0,4,3.46,3.16,3.75,3.46,566160,44,500980,48
2023-05-15,月,立夏,13,FLOW SEASON,2.91,3.0,2.0,3.19,3.73,0.0,4,2.98,3.16,3.75,3.3,495300,42,276410,22
2023-05-16,火,立夏,13,FLOW SEASON,2.91,3.0,2.0,3.19,3.73,0.0,4,2.98,3.16,3.75,3.3,498820,45,559680,38
2023-05-17,水,立夏,13,FLOW SEASON,2.91,3.0,2.0,3.19,3.73,0.0,4,2.98,3.16,3.75,3.3,742200,62,489450,37
2023-05-18,木,立夏,13,FLOW SEASON,2.91,3.0,3.0,3.19,3.73,0.0,4,3.23,3.16,3.75,3.38,587085,45,345350,22
2023-05-19,金,立夏,13,FLOW SEASON,2.91,3.0,4.0,3.19,3.73,0.0,4,3.48,3.16,3.75,3.46,636920,53,532040,40
2023-05-20,土,立夏,13,FLOW SEASON,2.91,3.0,5.0,3.19,3.73,0.0,4,3.73,3.16,3.75,3.55,549415,50,613920,59
2023-05-21,日,小満,14,FLOW SEASON,2.74,3.0,4.0,3.13,3.73,0.0,4,3.46,3.16,3.75,3.46,533570,46,389600,35
2023-05-22,月,小満,14,FLOW SEASON,2.74,3.0,2.0,3.13,3.77,0.0,4,2.97,3.16,3.75,3.29,422336,35,345770,21
2023-05-23,火,小満,14,FLOW SEASON,2.74,3.0,2.0,3.13,3.77,0.0,4,2.97,3.16,3.75,3.29,519106,42,620920,68
2023-05-24,水,小満,14,FLOW SEASON,2.74,3.0,2.0,3.13,3.77,0.0,4,2.97,3.16,3.75,3.29,657950,53,275710,30
2023-05-25,木,小満,14,FLOW SEASON,2.74,3.0,3.0,3.13,3.77,0.0,4,3.22,3.16,3.75,3.38,506506,37,414230,25
2023-05-26,金,小満,14,FLOW SEASON,2.74,3.0,4.0,3.13,3.77,0.0,4,3.47,3.16,3.75,3.46,601960,48,483890,55
2023-05-27,土,小満,14,FLOW SEASON,2.74,3.0,5.0,3.13,3.77,0.0,4,3.72,3.16,3.75,3.54,570916,53,643290,54
2023-05-28,日,小満,14,FLOW SEASON,2.74,3.0,4.0,3.13,3.77,0.0,4,3.47,3.16,3.75,3.46,485580,42,537640,55
2023-05-29,月,小満,14,FLOW SEASON,2.74,3.0,2.0,3.13,3.72,0.0,4,2.96,3.16,3.75,3.29,403195,31,533530,33
2023-05-30,火,小満,14,FLOW SEASON,2.74,3.0,2.0,3.13,3.72,0.0,4,2.96,3.16,3.75,3.29,544560,49,412310,28
2023-05-31,水,小満,14,FLOW SEASON,2.74,3.0,2.0,3.13,3.72,0.0,4,2.96,3.16,3.75,3.29,562390,47,531550,30
2023-06-01,木,小満,14,FLOW SEASON,2.74,4.0,3.0,3.13,3.72,0.0,4,3.46,2.66,3.27,3.13,0,0,473030,37
2023-06-02,金,小満,14,FLOW SEASON,2.74,4.0,4.0,3.13,3.72,0.0,4,3.71,2.66,3.27,3.21,0,0,392680,29
2023-06-03,土,小満,14,FLOW SEASON,2.74,4.0,5.0,3.13,3.72,0.0,4,3.96,2.66,3.27,3.3,0,0,561770,59
2023-06-04,日,小満,14,FLOW SEASON,2.74,4.0,4.0,3.13,3.72,0.0,4,3.71,2.66,3.27,3.21,0,0,492220,61
2023-06-05,月,小満,14,FLOW SEASON,2.74,4.0,2.0,3.13,3.95,0.0,4,3.27,2.66,3.27,3.07,0,0,440800,29
2023-06-06,火,芒種,10,HIGH SEASON,3.43,4.0,2.0,3.61,3.95,0.0,4,3.39,2.66,3.27,3.11,0,0,414700,37
2023-06-07,水,芒種,10,HIGH SEASON,3.43,4.0,2.0,3.61,3.95,0.0,4,3.39,2.66,3.27,3.11,0,0,273320,23
2023-06-08,木,芒種,10,HIGH SEASON,3.43,4.0,3.0,3.61,3.95,0.0,4,3.64,2.66,3.27,3.19,473030,37,422710,28
2023-06-09,金,芒種,10,HIGH SEASON,3.43,4.0,4.0,3.61,3.95,0.0,4,3.89,2.66,3.27,3.27,392680,29,252740,22
2023-06-10,土,芒種,10,HIGH SEASON,3.43,4.0,5.0,3.61,3.95,0.0,4,4.14,2.66,3.27,3.36,561770,59,547810,59
2023-06-11,日,芒種,10,HIGH SEASON,3.43,4.0,4.0,3.61,3.95,0.0,4,3.89,2.66,3.27,3.27,492220,61,626060,63
2023-06-12,月,芒種,10,HIGH SEASON,3.43,4.0,2.0,3.61,4.06,0.0,4,3.42,2.66,3.27,3.12,440800,29,485180,25
