date,weekday,sekki,special,month_idx,weekday_idx,sekki_idx,special_idx,kf1_constant,l_count,d_count,grand_total,kf2_sales,kf3_count,mp_point
2023-04-01,土,春分,,1.00,5.00,3.20,,3.28,0,0,0,1.00,1.00,1.64
2023-04-02,日,春分,,1.00,4.00,3.20,,2.93,0,0,0,1.00,1.00,1.47
2023-04-03,月,春分,,1.00,2.00,3.20,,2.23,0,0,0,1.00,1.00,1.11
2023-04-04,火,春分,,1.00,2.00,3.20,,2.23,0,0,0,1.00,1.00,1.11
2023-04-05,水,清明,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-06,木,清明,,1.00,3.00,1.00,,1.70,0,0,0,1.00,1.00,1.00
2023-04-07,金,清明,,1.00,4.00,1.00,,2.05,0,0,0,1.00,1.00,1.02
2023-04-08,土,清明,,1.00,5.00,1.00,,2.40,0,0,0,1.00,1.00,1.20
2023-04-09,日,清明,,1.00,4.00,1.00,,2.05,0,0,0,1.00,1.00,1.02
2023-04-10,月,清明,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-11,火,清明,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-12,水,清明,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-13,木,清明,,1.00,3.00,1.00,,1.70,0,0,0,1.00,1.00,1.00
2023-04-14,金,清明,,1.00,4.00,1.00,,2.05,0,0,0,1.00,1.00,1.02
2023-04-15,土,清明,,1.00,5.00,1.00,,2.40,0,0,0,1.00,1.00,1.20
2023-04-16,日,清明,,1.00,4.00,1.00,,2.05,0,0,0,1.00,1.00,1.02
2023-04-17,月,清明,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-18,火,清明,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-19,水,清明,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-20,木,穀雨,,1.00,3.00,1.00,,1.70,0,0,0,1.00,1.00,1.00
2023-04-21,金,穀雨,,1.00,4.00,1.00,,2.05,0,0,0,1.00,1.00,1.02
2023-04-22,土,穀雨,,1.00,5.00,1.00,,2.40,0,0,0,1.00,1.00,1.20
2023-04-23,日,穀雨,,1.00,4.00,1.00,,2.05,0,0,0,1.00,1.00,1.02
2023-04-24,月,穀雨,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-25,火,穀雨,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-26,水,穀雨,,1.00,2.00,1.00,,1.35,0,0,0,1.00,1.00,1.00
2023-04-27,木,穀雨,,1.00,3.00,1.00,,1.70,0,18,213140,1.64,1.79,1.71
2023-04-28,金,穀雨,,1.00,4.00,1.00,,2.05,0,29,352240,2.05,2.27,2.12
2023-04-29,土,穀雨,GW,1.00,5.00,1.00,4.50,3.87,22,42,558800,2.67,3.81,3.49
2023-04-30,日,穀雨,GW,1.00,4.00,1.00,4.50,3.76,29,32,455130,2.36,3.67,3.31
2023-05-01,月,穀雨,GW,3.00,2.00,1.00,4.50,3.71,25,29,419610,2.26,3.37,3.17
2023-05-02,火,穀雨,GW,3.00,2.00,1.00,4.50,3.71,23,41,523780,2.57,3.81,3.40
2023-05-03,水,穀雨,GW,3.00,2.00,1.00,4.50,3.71,40,35,532680,2.59,4.29,3.55
2023-05-04,木,穀雨,GW,3.00,3.00,1.00,4.50,3.81,30,39,562620,2.68,4.03,3.54
2023-05-05,金,立夏,GW,3.00,4.00,3.50,4.50,4.21,24,40,505250,2.51,3.81,3.58
2023-05-06,土,立夏,GW,3.00,5.00,3.50,4.50,4.32,12,20,341200,2.02,2.40,3.05
2023-05-07,日,立夏,,3.00,4.00,3.50,,3.55,17,27,410660,2.23,2.93,2.97
2023-05-08,月,立夏,,3.00,2.00,3.50,,2.85,0,30,425340,2.27,2.32,2.52
2023-05-09,火,立夏,,3.00,2.00,3.50,,2.85,0,26,280360,1.84,2.14,2.33
2023-05-10,水,立夏,,3.00,2.00,3.50,,2.85,17,32,644270,2.93,3.15,2.96
2023-05-11,木,立夏,,3.00,3.00,3.50,,3.20,0,21,261550,1.78,1.92,2.39
2023-05-12,金,立夏,,3.00,4.00,3.50,,3.55,0,42,478240,2.43,2.84,3.00
2023-05-13,土,立夏,,3.00,5.00,3.50,,3.90,26,43,579130,2.73,4.03,3.59
2023-05-14,日,立夏,,3.00,4.00,3.50,,3.55,22,26,342230,2.02,3.10,2.96
2023-05-15,月,立夏,,3.00,2.00,3.50,,2.85,0,22,262910,1.79,1.96,2.27
2023-05-16,火,立夏,,3.00,2.00,3.50,,2.85,0,38,489780,2.47,2.67,2.68
2023-05-17,水,立夏,,3.00,2.00,3.50,,2.85,0,37,435250,2.30,2.62,2.62
2023-05-18,木,立夏,,3.00,3.00,3.50,,3.20,0,22,291950,1.87,1.96,2.43
2023-05-19,金,立夏,,3.00,4.00,3.50,,3.55,0,40,455040,2.36,2.75,2.95
2023-05-20,土,立夏,,3.00,5.00,3.50,,3.90,22,37,476620,2.43,3.59,3.37
2023-05-21,日,小満,,3.00,4.00,2.80,,3.27,7,28,353600,2.06,2.53,2.69
2023-05-22,月,小満,,3.00,2.00,2.80,,2.57,0,21,309820,1.93,1.92,2.18
