date,weekday,sekki,rank,season,season_pt,weekday_pt,daily_pt,l_count,d_count,grand_total
2023-04-01,土,春分,13,FLOW SEASON,3.00,5.00,3.80,0,0,0
2023-04-02,日,春分,13,FLOW SEASON,3.00,4.00,3.40,0,0,0
2023-04-03,月,春分,13,FLOW SEASON,3.00,2.00,2.60,0,0,0
2023-04-04,火,春分,13,FLOW SEASON,3.00,2.00,2.60,0,0,0
2023-04-05,水,清明,24,OFF SEASON,1.17,2.00,1.50,0,0,0
2023-04-06,木,清明,24,OFF SEASON,1.17,3.00,1.90,0,0,0
2023-04-07,金,清明,24,OFF SEASON,1.17,4.00,2.30,0,0,0
2023-04-08,土,清明,24,OFF SEASON,1.17,5.00,2.70,0,0,0
2023-04-09,日,清明,24,OFF SEASON,1.17,4.00,2.30,0,0,0
2023-04-10,月,清明,24,OFF SEASON,1.17,2.00,1.50,0,0,0
2023-04-11,火,清明,24,OFF SEASON,1.17,2.00,1.50,0,0,0
2023-04-12,水,清明,24,OFF SEASON,1.17,2.00,1.50,0,0,0
2023-04-13,木,清明,24,OFF SEASON,1.17,3.00,1.90,0,0,0
2023-04-14,金,清明,24,OFF SEASON,1.17,4.00,2.30,0,0,0
2023-04-15,土,清明,24,OFF SEASON,1.17,5.00,2.70,0,0,0
2023-04-16,日,清明,24,OFF SEASON,1.17,4.00,2.30,0,0,0
2023-04-17,月,清明,24,OFF SEASON,1.17,2.00,1.50,0,0,0
2023-04-18,火,清明,24,OFF SEASON,1.17,2.00,1.50,0,0,0
2023-04-19,水,清明,24,OFF SEASON,1.17,2.00,1.50,0,0,0
2023-04-20,木,穀雨,16,LOW SEASON,2.50,3.00,2.70,0,0,0
2023-04-21,金,穀雨,16,LOW SEASON,2.50,4.00,3.10,0,0,0
2023-04-22,土,穀雨,16,LOW SEASON,2.50,5.00,3.50,0,0,0
2023-04-23,日,穀雨,16,LOW SEASON,2.50,4.00,3.10,0,0,0
2023-04-24,月,穀雨,16,LOW SEASON,2.50,2.00,2.30,0,0,0
2023-04-25,火,穀雨,16,LOW SEASON,2.50,2.00,2.30,0,0,0
2023-04-26,水,穀雨,16,LOW SEASON,2.50,2.00,2.30,0,0,0
2023-04-27,木,穀雨,16,LOW SEASON,2.50,3.00,2.70,0,18,213140
2023-04-28,金,穀雨,16,LOW SEASON,2.50,4.00,3.10,0,29,352240
2023-04-29,土,穀雨,16,LOW SEASON,2.50,5.00,3.50,22,42,558800
2023-04-30,日,穀雨,16,LOW SEASON,2.50,4.00,3.10,29,32,455130
2023-05-01,月,穀雨,16,LOW SEASON,2.50,2.00,2.30,25,29,419610
2023-05-02,火,穀雨,16,LOW SEASON,2.50,2.00,2.30,23,41,523780
2023-05-03,水,穀雨,16,LOW SEASON,2.50,2.00,2.30,40,35,532680
2023-05-04,木,穀雨,16,LOW SEASON,2.50,3.00,2.70,30,39,562620
2023-05-05,金,立夏,11,FLOW SEASON,3.33,4.00,3.60,24,40,505250
2023-05-06,土,立夏,11,FLOW SEASON,3.33,5.00,4.00,12,20,341200
2023-05-07,日,立夏,11,FLOW SEASON,3.33,4.00,3.60,17,27,410660
2023-05-08,月,立夏,11,FLOW SEASON,3.33,2.00,2.80,0,30,425340
2023-05-09,火,立夏,11,FLOW SEASON,3.33,2.00,2.80,0,26,280360
2023-05-10,水,立夏,11,FLOW SEASON,3.33,2.00,2.80,17,32,644270
2023-05-11,木,立夏,11,FLOW SEASON,3.33,3.00,3.20,0,21,261550
2023-05-12,金,立夏,11,FLOW SEASON,3.33,4.00,3.60,0,42,478240
2023-05-13,土,立夏,11,FLOW SEASON,3.33,5.00,4.00,26,43,579130
2023-05-14,日,立夏,11,FLOW SEASON,3.33,4.00,3.60,22,26,342230
2023-05-15,月,立夏,11,FLOW SEASON,3.33,2.00,2.80,0,22,262910
2023-05-16,火,立夏,11,FLOW SEASON,3.33,2.00,2.80,0,38,489780
2023-05-17,水,立夏,11,FLOW SEASON,3.33,2.00,2.80,0,37,435250
2023-05-18,木,立夏,11,FLOW SEASON,3.33,3.00,3.20,0,22,291950
2023-05-19,金,立夏,11,FLOW SEASON,3.33,4.00,3.60,0,40,455040
2023-05-20,土,立夏,11,FLOW SEASON,3.33,5.00,4.00,22,37,476620
2023-05-21,日,小満,12,FLOW SEASON,3.17,4.00,3.50,7,28,353600
2023-05-22,月,小満,12,FLOW SEASON,3.17,2.00,2.70,0,21,309820
2023-05-23,火,小満,12,FLOW SEASON,3.17,2.00,2.70,28,40,546570
2023-05-24,水,小満,12,FLOW SEASON,3.17,2.00,2.70,0,30,202510
2023-05-25,木,小満,12,FLOW SEASON,3.17,3.00,3.10,0,25,314780
2023-05-26,金,小満,12,FLOW SEASON,3.17,4.00,3.50,28,27,417640
2023-05-27,土,小満,12,FLOW SEASON,3.17,5.00,3.90,22,32,438990
2023-05-28,日,小満,12,FLOW SEASON,3.17,4.00,3.50,30,25,410340
2023-05-29,月,小満,12,FLOW SEASON,3.17,2.00,2.70,0,33,462780
2023-05-30,火,小満,12,FLOW SEASON,3.17,2.00,2.70,0,28,362560
2023-05-31,水,小満,12,FLOW SEASON,3.17,2.00,2.70,0,30,406650
2023-06-01,木,小満,12,FLOW SEASON,3.17,3.00,3.10,0,37,376280
2023-06-02,金,小満,12,FLOW SEASON,3.17,4.00,3.50,0,29,352430
2023-06-03,土,小満,12,FLOW SEASON,3.17,5.00,3.90,20,39,527270
2023-06-04,日,小満,12,FLOW SEASON,3.17,4.00,3.50,23,38,421170
2023-06-05,月,小満,12,FLOW SEASON,3.17,2.00,2.70,0,29,375400
2023-06-06,火,芒種,6,HIGH SEASON,4.17,2.00,3.30,12,25,358200
2023-06-07,水,芒種,6,HIGH SEASON,4.17,2.00,3.30,0,23,257970
2023-06-08,木,芒種,6,HIGH SEASON,4.17,3.00,3.70,0,28,337160
2023-06-09,金,芒種,6,HIGH SEASON,4.17,4.00,4.10,0,22,252190
2023-06-10,土,芒種,6,HIGH SEASON,4.17,5.00,4.50,24,35,469560
2023-06-11,日,芒種,6,HIGH SEASON,4.17,4.00,4.10,27,36,482360
2023-06-12,月,芒種,6,HIGH SEASON,4.17,2.00,3.30,0,25,396830
2023-06-13,火,芒種,6,HIGH SEASON,4.17,2.00,3.30,0,30,398530
2023-06-14,水,芒種,6,HIGH SEASON,4.17,2.00,3.30,0,36,461160
2023-06-15,木,芒種,6,HIGH SEASON,4.17,3.00,3.70,0,34,404460
2023-06-16,金,芒種,6,HIGH SEASON,4.17,4.00,4.10,0,29,320020
2023-06-17,土,芒種,6,HIGH SEASON,4.17,5.00,4.50,29,37,527190
2023-06-18,日,芒種,6,HIGH SEASON,4.17,4.00,4.10,29,25,437110
2023-06-19,月,芒種,6,HIGH SEASON,4.17,2.00,3.30,0,29,318990
2023-06-20,火,芒種,6,HIGH SEASON,4.17,2.00,3.30,33,28,449550
2023-06-21,水,夏至,5,TOP SEASON,4.33,2.00,3.40,0,35,457490
2023-06-22,木,夏至,5,TOP SEASON,4.33,3.00,3.80,0,35,383310
2023-06-23,金,夏至,5,TOP SEASON,4.33,4.00,4.20,0,29,389520
2023-06-24,土,夏至,5,TOP SEASON,4.33,5.00,4.60,30,45,702460
2023-06-25,日,夏至,5,TOP SEASON,4.33,4.00,4.20,29,38,591070
2023-06-26,月,夏至,5,TOP SEASON,4.33,2.00,3.40,0,34,405990
2023-06-27,火,夏至,5,TOP SEASON,4.33,2.00,3.40,0,31,421350
2023-06-28,水,夏至,5,TOP SEASON,4.33,2.00,3.40,0,40,402130
2023-06-29,木,夏至,5,TOP SEASON,4.33,3.00,3.80,0,23,278810
2023-06-30,金,夏至,5,TOP SEASON,4.33,4.00,4.20,0,40,472310
2023-07-01,土,夏至,5,TOP SEASON,4.33,5.00,4.60,37,29,497965
2023-07-02,日,夏至,5,TOP SEASON,4.33,4.00,4.20,29,32,455450
2023-07-03,月,夏至,5,TOP SEASON,4.33,2.00,3.40,0,31,401830
2023-07-04,火,夏至,5,TOP SEASON,4.33,2.00,3.40,0,31,350150
2023-07-05,水,夏至,5,TOP SEASON,4.33,2.00,3.40,0,25,282110
2023-07-06,木,夏至,5,TOP SEASON,4.33,3.00,3.80,0,24,281990
2023-07-07,金,小暑,3,TOP SEASON,4.67,4.00,4.40,0,42,470660
2023-07-08,土,小暑,3,TOP SEASON,4.67,5.00,4.80,45,38,579170
2023-07-09,日,小暑,3,TOP SEASON,4.67,4.00,4.40,24,31,431890
2023-07-10,月,小暑,3,TOP SEASON,4.67,2.00,3.60,0,32,439690
2023-07-11,火,小暑,3,TOP SEASON,4.67,2.00,3.60,0,25,296400
2023-07-12,水,小暑,3,TOP SEASON,4.67,2.00,3.60,0,29,363300
2023-07-13,木,小暑,3,TOP SEASON,4.67,3.00,4.00,0,28,369870
2023-07-14,金,小暑,3,TOP SEASON,4.67,4.00,4.40,0,38,440280
2023-07-15,土,小暑,3,TOP SEASON,4.67,5.00,4.80,19,36,491910
2023-07-16,日,小暑,3,TOP SEASON,4.67,4.00,4.40,39,33,628210
2023-07-17,月,小暑,3,TOP SEASON,4.67,2.00,3.60,17,36,403420
