date,weekday,l_count,l_food,l_drink,l_total,l_avg,d_count,d_food,d_drink,d_total,d_avg,l_room_fee,l_flower,d_room_fee,d_flower,event_count,event_food,event_drink,event_room_fee,event_flower,event_total,grand_total
2023-01-01,日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-02,月,8,23,5234,665,149270,2,11,9427,3359,154715,0,0,0,0,0,0,0,0,0,0,0
2023-01-03,火,3,10,5000,785,63635,1,2,10000,6500,36300,0,0,0,0,0,0,0,0,0,0,0
2023-01-04,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-05,木,2,9,4100,1011,50600,2,4,8250,6800,66220,0,0,0,0,0,0,0,0,0,0,0
2023-01-06,金,2,5,3500,3160,36630,1,6,10000,7775,117315,0,0,0,0,0,0,0,0,0,0,0
2023-01-07,土,9,24,4070,1100,136510,3,4,16227,2425,82070,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,日,9,31,3949,1117,172805,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-09,月,0,0,0,0,0,1,2,6500,700,15840,0,0,0,0,60,176000,60000,0,0,0,0
2023-01-10,火,0,0,0,0,0,1,2,10000,1575,25465,0,0,0,0,0,0,0,0,0,0,0
2023-01-11,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-12,木,2,4,4100,787,21505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-13,金,2,6,3900,933,31900,2,4,6500,2500,39600,0,0,0,0,0,0,0,0,0,0,0
2023-01-14,土,2,20,3415,1714,112840,5,11,9727,2322,145805,0,0,0,0,0,150000,0,0,0,0,0
2023-01-15,日,6,16,3940,1390,93826,5,11,9727,2322,145805,0,0,0,0,0,150000,0,0,0,0,0
2023-01-16,月,2,4,3500,0,15400,1,2,8500,1925,22935,0,0,0,0,0,0,0,0,0,0,0
2023-01-17,火,1,3,3500,1166,15400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-18,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-19,木,5,11,4318,709,60830,2,5,11800,2620,79310,0,0,0,0,40,34000,0,0,0,0,0
2023-01-20,金,1,2,5300,600,12980,1,50,11127,2520,750600,0,0,0,0,40,34000,0,0,0,0,0
2023-01-21,土,3,6,3754,1300,33361,4,9,12979,4333,171400,0,0,0,0,40,34000,0,0,0,0,0
2023-01-22,日,7,16,3204,1675,85880,2,4,13500,4312,78375,0,0,0,0,0,0,0,0,0,0,0
2023-01-23,月,2,4,3800,300,18040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-24,火,5,12,4500,720,68915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-25,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-26,木,1,2,6500,0,14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-27,金,1,26,4609,1301,169070,2,6,8333,4650,85690,0,0,0,0,0,0,0,0,0,0,0
2023-01-28,土,7,29,3669,2044,182301,3,6,9500,4425,91905,0,0,0,0,0,0,0,0,0,0,0
2023-01-29,日,12,29,3789,1150,157575,1,4,12000,6000,79200,0,0,0,0,0,0,0,0,0,0,0
2023-01-30,月,2,8,3500,812,37950,1,2,12000,6000,39600,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,火,2,4,5600,600,27280,2,5,10700,3450,77825,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-02,木,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20000,550000,0,0,0,0
2023-02-03,金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,50000,550000,0,0,0,0
2023-02-04,土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30000,550000,0,0,0,0
2023-02-05,日,6,14,4485,864,82390,1,3,15000,3216,60115,0,0,0,0,0,0,0,0,0,0,0
2023-02-06,月,2,30,4080,1350,179190,5,21,7604,1338,206580,0,0,0,0,0,0,0,0,0,0,0
2023-02-07,火,4,12,4750,841,73810,2,6,11666,2833,95700,0,0,0,0,0,0,0,0,0,0,0
2023-02-08,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-09,木,1,3,3500,650,13695,3,5,6000,2712,47920,0,0,0,0,0,0,0,0,0,0,0
2023-02-10,金,9,24,4350,1062,142890,1,2,10000,1175,24585,0,0,0,0,0,0,0,0,0,0,0
2023-02-11,土,3,9,5311,750,60005,1,2,12000,2425,31735,0,0,0,0,0,0,0,0,0,0,0
2023-02-12,日,10,41,5000,1243,281600,1,4,12000,4300,71720,0,0,0,0,0,0,0,0,0,0,0
2023-02-13,月,4,9,4033,1244,52250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-14,火,4,11,3936,740,56595,1,3,13636,4216,58915,0,0,0,0,0,0,0,0,0,0,0
