date,weekday,sekki,level,season,season_pt,kf1_constant,weekday_idx,mp_sekki,l_count,d_count,total_count,grand_total
2023-01-01,日,冬至,8,HIGH SEASON,3.83,2.31,4.00,4.32,0,0,0,0
2023-01-02,月,冬至,8,HIGH SEASON,3.83,2.31,2.00,4.32,23,11,34,303985
2023-01-03,火,冬至,8,HIGH SEASON,3.83,2.31,2.00,4.32,10,2,12,99935
2023-01-04,水,冬至,8,HIGH SEASON,3.83,2.31,2.00,4.32,0,0,0,0
2023-01-05,木,小寒,23,OFF SEASON,1.33,2.31,3.00,2.77,9,4,13,116820
2023-01-06,金,小寒,23,OFF SEASON,1.33,2.31,4.00,2.77,5,6,11,220945
2023-01-07,土,小寒,23,OFF SEASON,1.33,2.31,5.00,2.77,24,4,28,221204
2023-01-08,日,小寒,23,OFF SEASON,1.33,2.31,4.00,2.77,31,0,31,172805
2023-01-09,月,小寒,23,OFF SEASON,1.33,2.31,2.00,2.77,0,2,2,371625
2023-01-10,火,小寒,23,OFF SEASON,1.33,2.31,2.00,2.77,0,2,2,25465
2023-01-11,水,小寒,23,OFF SEASON,1.33,2.31,2.00,2.77,0,0,0,0
2023-01-12,木,小寒,23,OFF SEASON,1.33,2.31,3.00,2.77,4,0,4,21505
2023-01-13,金,小寒,23,OFF SEASON,1.33,2.31,4.00,2.77,6,4,10,71500
2023-01-14,土,小寒,23,OFF SEASON,1.33,2.31,5.00,2.77,20,11,31,408645
2023-01-15,日,小寒,23,OFF SEASON,1.33,2.31,4.00,2.77,16,11,27,393519
2023-01-16,月,小寒,23,OFF SEASON,1.33,2.31,2.00,2.77,4,2,6,38335
2023-01-17,火,小寒,23,OFF SEASON,1.33,2.31,2.00,2.77,3,0,3,15400
2023-01-18,水,小寒,23,OFF SEASON,1.33,2.31,2.00,2.77,0,0,0,0
2023-01-19,木,小寒,23,OFF SEASON,1.33,2.31,3.00,2.77,11,5,16,174140
2023-01-20,金,大寒,20,LOW SEASON,1.83,2.31,4.00,3.00,2,50,52,797580
2023-01-21,土,大寒,20,LOW SEASON,1.83,2.31,5.00,3.00,6,9,15,238761
2023-01-22,日,大寒,20,LOW SEASON,1.83,2.31,4.00,3.00,16,4,20,164255
2023-01-23,月,大寒,20,LOW SEASON,1.83,2.31,2.00,3.00,4,0,4,18040
2023-01-24,火,大寒,20,LOW SEASON,1.83,2.31,2.00,3.00,12,0,12,68915
2023-01-25,水,大寒,20,LOW SEASON,1.83,2.31,2.00,3.00,0,0,0,0
2023-01-26,木,大寒,20,LOW SEASON,1.83,2.31,3.00,3.00,2,0,2,14300
2023-01-27,金,大寒,20,LOW SEASON,1.83,2.31,4.00,3.00,26,6,32,254760
2023-01-28,土,大寒,20,LOW SEASON,1.83,2.31,5.00,3.00,29,6,35,274206
2023-01-29,日,大寒,20,LOW SEASON,1.83,2.31,4.00,3.00,29,4,33,236775
2023-01-30,月,大寒,20,LOW SEASON,1.83,2.31,2.00,3.00,8,2,10,77550
2023-01-31,火,大寒,20,LOW SEASON,1.83,2.31,2.00,3.00,4,5,9,105105
2023-02-01,水,大寒,20,LOW SEASON,1.83,2.78,2.00,3.00,0,0,0,0
2023-02-02,木,大寒,20,LOW SEASON,1.83,2.78,3.00,3.00,0,0,0,570000
2023-02-03,金,大寒,20,LOW SEASON,1.83,2.78,4.00,3.00,0,0,0,600000
2023-02-04,土,立春,17,LOW SEASON,2.33,2.78,5.00,3.46,0,0,0,580000
2023-02-05,日,立春,17,LOW SEASON,2.33,2.78,4.00,3.46,14,3,17,142505
2023-02-06,月,立春,17,LOW SEASON,2.33,2.78,2.00,3.46,30,21,51,385770
2023-02-07,火,立春,17,LOW SEASON,2.33,2.78,2.00,3.46,12,6,18,169510
2023-02-08,水,立春,17,LOW SEASON,2.33,2.78,2.00,3.46,0,0,0,0
2023-02-09,木,立春,17,LOW SEASON,2.33,2.78,3.00,3.46,3,5,8,61615
2023-02-10,金,立春,17,LOW SEASON,2.33,2.78,4.00,3.46,24,2,26,167475
2023-02-11,土,立春,17,LOW SEASON,2.33,2.78,5.00,3.46,9,2,11,91740
2023-02-12,日,立春,17,LOW SEASON,2.33,2.78,4.00,3.46,41,4,45,353320
2023-02-13,月,立春,17,LOW SEASON,2.33,2.78,2.00,3.46,9,0,9,52250
2023-02-14,火,立春,17,LOW SEASON,2.33,2.78,2.00,3.46,11,3,14,115510
2023-02-15,水,立春,17,LOW SEASON,2.33,2.78,2.00,3.46,0,0,0,0
2023-02-16,木,立春,17,LOW SEASON,2.33,2.78,3.00,3.46,7,0,7,56100
2023-02-17,金,立春,17,LOW SEASON,2.33,2.78,4.00,3.46,12,15,27,376200
2023-02-18,土,立春,17,LOW SEASON,2.33,2.78,5.00,3.46,11,14,25,241505
2023-02-19,日,雨水,22,OFF SEASON,1.50,2.78,4.00,2.80,7,2,9,72710
2023-02-20,月,雨水,22,OFF SEASON,1.50,2.78,2.00,2.80,2,6,8,102575
2023-02-21,火,雨水,22,OFF SEASON,1.50,2.78,2.00,2.80,3,0,3,21725
2023-02-22,水,雨水,22,OFF SEASON,1.50,2.78,2.00,2.80,0,0,0,0
2023-02-23,木,雨水,22,OFF SEASON,1.50,2.78,3.00,2.80,11,2,13,122980
2023-02-24,金,雨水,22,OFF SEASON,1.50,2.78,4.00,2.80,14,5,19,131175
2023-02-25,土,雨水,22,OFF SEASON,1.50,2.78,5.00,2.80,30,8,38,313940
2023-02-26,日,雨水,22,OFF SEASON,1.50,2.78,4.00,2.80,13,7,20,174240
2023-02-27,月,雨水,22,OFF SEASON,1.50,2.78,2.00,2.80,3,0,3,21780
2023-02-28,火,雨水,22,OFF SEASON,1.50,2.78,2.00,2.80,9,0,9,48015
2023-03-01,水,雨水,22,OFF SEASON,1.50,2.58,2.00,2.80,4,15,19,420860
2023-03-02,木,雨水,22,OFF SEASON,1.50,2.58,3.00,2.80,0,34,34,340000
2023-03-03,金,雨水,22,OFF SEASON,1.50,2.58,4.00,2.80,10,0,10,47245
2023-03-04,土,雨水,22,OFF SEASON,1.50,2.58,5.00,2.80,16,6,22,192940
2023-03-05,日,啓蟄,21,OFF SEASON,1.67,2.58,4.00,2.85,0,4,4,66220
2023-03-06,月,啓蟄,21,OFF SEASON,1.67,2.58,2.00,2.85,0,6,6,65340
2023-03-07,火,啓蟄,21,OFF SEASON,1.67,2.58,2.00,2.85,17,0,17,94446
2023-03-08,水,啓蟄,21,OFF SEASON,1.67,2.58,2.00,2.85,0,0,0,0
2023-03-09,木,啓蟄,21,OFF SEASON,1.67,2.58,3.00,2.85,10,5,15,165330
2023-03-10,金,啓蟄,21,OFF SEASON,1.67,2.58,4.00,2.85,7,13,20,223630
2023-03-11,土,啓蟄,21,OFF SEASON,1.67,2.58,5.00,2.85,15,8,23,184700
2023-03-12,日,啓蟄,21,OFF SEASON,1.67,2.58,4.00,2.85,22,8,30,231825
2023-03-13,月,啓蟄,21,OFF SEASON,1.67,2.58,2.00,2.85,8,6,14,216275
2023-03-14,火,啓蟄,21,OFF SEASON,1.67,2.58,2.00,2.85,20,4,24,189195
2023-03-15,水,啓蟄,21,OFF SEASON,1.67,2.58,2.00,2.85,0,0,0,0
2023-03-16,木,啓蟄,21,OFF SEASON,1.67,2.58,3.00,2.85,6,0,6,26510
2023-03-17,金,啓蟄,21,OFF SEASON,1.67,2.58,4.00,2.85,2,12,14,160775
2023-03-18,土,啓蟄,21,OFF SEASON,1.67,2.58,5.00,2.85,4,15,19,244530
2023-03-19,日,啓蟄,21,OFF SEASON,1.67,2.58,4.00,2.85,4,13,17,164395
2023-03-20,月,啓蟄,21,OFF SEASON,1.67,2.58,2.00,2.85,6,14,20,272305
2023-03-21,火,春分,19,LOW SEASON,2.00,2.58,2.00,3.02,18,3,21,152009
2023-03-22,水,春分,19,LOW SEASON,2.00,2.58,2.00,3.02,0,0,0,0
2023-03-23,木,春分,19,LOW SEASON,2.00,2.58,3.00,3.02,9,7,16,96360
2023-03-24,金,春分,19,LOW SEASON,2.00,2.58,4.00,3.02,11,19,30,279137
2023-03-25,土,春分,19,LOW SEASON,2.00,2.58,5.00,3.02,13,25,38,501040
2023-03-26,日,春分,19,LOW SEASON,2.00,2.58,4.00,3.02,13,2,15,96910
2023-03-27,月,春分,19,LOW SEASON,2.00,2.58,2.00,3.02,8,11,19,192145
2023-03-28,火,春分,19,LOW SEASON,2.00,2.58,2.00,3.02,5,7,12,145585
2023-03-29,水,春分,19,LOW SEASON,2.00,2.58,2.00,3.02,0,16,16,160000
2023-03-30,木,春分,19,LOW SEASON,2.00,2.58,3.00,3.02,13,8,21,162910
2023-03-31,金,春分,19,LOW SEASON,2.00,2.58,4.00,3.02,31,16,47,481865
2023-04-01,土,春分,19,LOW SEASON,2.00,1.99,5.00,3.02,13,6,19,167164
2023-04-02,日,春分,19,LOW SEASON,2.00,1.99,4.00,3.02,17,15,32,285455
2023-04-03,月,春分,19,LOW SEASON,2.00,1.99,2.00,3.02,4,15,19,227645
2023-04-04,火,春分,19,LOW SEASON,2.00,1.99,2.00,3.02,6,19,25,286115
