date,weekday,sekki,rank,season,season_pt,monthly_idx,weekday_idx,sekki_idx,weekly_idx,daily_idx,layers_used,kf1,kf2,kf3,mp_point,predicted_sales,predicted_count,actual_sales,actual_count
2023-04-01,土,春分,17,LOW SEASON,2.22,1.0,5.0,1.88,2.04,0.0,3,2.18,5.0,2.74,3.31,0,0,167164,19
2023-04-02,日,春分,17,LOW SEASON,2.22,1.0,4.0,1.88,2.04,0.0,3,1.87,5.0,2.74,3.2,0,0,285455,32
2023-04-03,月,春分,17,LOW SEASON,2.22,1.0,2.0,1.88,1.62,0.0,3,1.1,5.0,2.74,2.95,0,0,227645,19
2023-04-04,火,春分,17,LOW SEASON,2.22,1.0,2.0,1.88,1.62,0.0,3,1.27,5.0,2.74,3.0,0,0,286115,25
2023-04-05,水,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.62,0.0,3,1.18,5.0,2.74,2.97,0,0,0,0
2023-04-06,木,清明,24,OFF SEASON,1.0,1.0,3.0,1.38,1.62,0.0,3,1.07,5.0,2.74,2.94,0,0,190540,17
2023-04-07,金,清明,24,OFF SEASON,1.0,1.0,4.0,1.38,1.62,0.0,3,1.34,5.0,2.74,3.03,0,0,255645,24
2023-04-08,土,清明,24,OFF SEASON,1.0,1.0,5.0,1.38,1.62,0.0,3,1.77,5.0,2.74,3.17,167164,19,202180,32
2023-04-09,日,清明,24,OFF SEASON,1.0,1.0,4.0,1.38,1.62,0.0,3,1.52,5.0,2.74,3.09,285455,32,374770,50
2023-04-10,月,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.21,0.0,3,1.0,5.0,2.74,2.91,227645,19,19910,4
2023-04-11,火,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.21,0.0,3,1.01,5.0,2.74,2.92,286115,25,54945,8
2023-04-12,水,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.21,0.0,3,1.07,5.0,2.74,2.94,0,0,0,0
2023-04-13,木,清明,24,OFF SEASON,1.0,1.0,3.0,1.38,1.21,0.0,3,1.0,5.0,2.74,2.91,190540,17,90145,11
2023-04-14,金,清明,24,OFF SEASON,1.0,1.0,4.0,1.38,1.21,0.0,3,1.21,5.0,2.74,2.98,255645,24,59510,8
2023-04-15,土,清明,24,OFF SEASON,1.0,1.0,5.0,1.38,1.21,0.0,3,1.6,5.0,2.74,3.11,184672,25,124520,10
2023-04-16,日,清明,24,OFF SEASON,1.0,1.0,4.0,1.38,1.21,0.0,3,1.37,5.0,2.74,3.04,330112,41,707740,57
2023-04-17,月,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.74,0.0,3,1.0,5.0,2.74,2.91,123777,11,76450,11
2023-04-18,火,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.74,0.0,3,1.16,5.0,2.74,2.97,170530,16,49060,6
2023-04-19,水,清明,24,OFF SEASON,1.0,1.0,2.0,1.38,1.74,0.0,3,1.22,5.0,2.74,2.99,0,0,0,0
2023-04-20,木,穀雨,18,LOW SEASON,2.04,1.0,3.0,2.34,1.74,0.0,3,1.36,5.0,2.74,3.03,140342,14,48730,8
2023-04-21,金,穀雨,18,LOW SEASON,2.04,1.0,4.0,2.34,1.74,0.0,3,1.7,5.0,2.74,3.15,157577,16,101288,15
2023-04-22,土,穀雨,18,LOW SEASON,2.04,1.0,5.0,2.34,1.74,0.0,3,2.25,5.0,2.74,3.33,164621,20,1127070,69
2023-04-23,日,穀雨,18,LOW SEASON,2.04,1.0,4.0,2.34,1.74,0.0,3,1.93,5.0,2.74,3.22,455988,46,94270,15
2023-04-24,月,穀雨,18,LOW SEASON,2.04,1.0,2.0,2.34,1.94,0.0,3,1.29,5.0,2.74,3.01,108001,11,147235,21
2023-04-25,火,穀雨,18,LOW SEASON,2.04,1.0,2.0,2.34,1.94,0.0,3,1.49,5.0,2.74,3.08,130040,13,227150,28
2023-04-26,水,穀雨,18,LOW SEASON,2.04,1.0,2.0,2.34,1.94,0.0,3,1.57,5.0,2.74,3.1,0,0,0,0
2023-04-27,木,穀雨,18,LOW SEASON,2.04,1.0,3.0,2.34,1.94,0.0,3,1.41,5.0,2.74,3.05,109805,12,131945,11
2023-04-28,金,穀雨,18,LOW SEASON,2.04,1.0,4.0,2.34,1.94,0.0,3,1.77,5.0,2.74,3.17,138814,15,134750,35
2023-04-29,土,穀雨,18,LOW SEASON,2.04,1.0,5.0,2.34,1.94,4.0,4,3.09,5.0,2.74,3.61,405233,32,464090,41
2023-04-30,日,穀雨,18,LOW SEASON,2.04,1.0,4.0,2.34,1.94,4.5,4,2.79,5.0,2.74,3.51,365558,38,250300,28
