date,weekday,count,food,drink,goods,total,avg
2024-09-01,日,124,81800,14000,1380,97180,783
2024-09-02,月,74,53000,3850,1260,58110,785
2024-09-03,火,75,49450,4200,930,54580,727
2024-09-04,水,91,61800,5950,1350,69100,759
2024-09-05,木,49,31050,4200,0,35250,719
2024-09-06,金,106,55550,13500,0,69050,651
2024-09-07,土,158,88400,26750,3840,118990,753
2024-09-08,日,185,125700,14000,2250,141950,767
2024-09-09,月,135,93250,9800,1140,104190,771
2024-09-10,火,101,66750,7350,120,74220,734
2024-09-11,水,90,48100,9100,450,57650,640
2024-09-12,木,160,94450,5950,0,100400,627
2024-09-13,金,92,58700,23000,3600,85300,927
2024-09-14,土,144,99850,14350,4170,118370,822
2024-09-15,日,61,30600,8050,3150,41800,685
2024-09-16,月,128,94350,12950,690,107990,843
2024-09-17,火,73,43700,4550,1920,50170,687
2024-09-18,水,69,44200,8750,900,53850,780
2024-09-19,木,174,86500,9100,690,96290,553
2024-09-20,金,51,27550,15250,2370,45170,885
2024-09-21,土,129,61450,31200,3150,95800,742
2024-09-22,日,134,76300,17850,3150,97300,726
2024-09-23,月,207,119600,17850,2040,139490,673
2024-09-24,火,59,47400,4200,570,52170,884
2024-09-25,水,70,45000,6300,900,52200,745
2024-09-26,木,124,72550,10500,4410,87460,705
2024-09-27,金,119,64800,20000,1350,86150,723
2024-09-28,土,132,83800,20350,3510,107660,815
2024-09-29,日,163,90950,18200,4740,113890,698
2024-09-30,月,78,42060,13650,2250,57960,743
2024-10-01,火,77,49000,4550,1920,55470,720
2024-10-02,水,73,38400,10150,1470,50020,685
2024-10-03,木,65,36600,8050,450,45100,693
2024-10-04,金,49,22150,10500,1800,34450,703
2024-10-05,土,172,99950,12950,3960,116860,679
2024-10-06,日,159,97450,12950,4080,114480,720
2024-10-07,月,111,59150,14000,450,73600,663
2024-10-08,火,88,42950,12250,1860,57060,648
2024-10-09,水,105,59500,11900,900,72300,688
2024-10-10,木,103,55000,8750,1350,65100,632
2024-10-11,金,71,38400,11550,1260,51210,721
2024-10-12,土,160,92650,15400,5430,113480,709
2024-10-13,日,222,118000,33600,7440,159040,716
2024-10-14,月,225,134650,26950,5070,166670,740
2024-10-15,火,120,55150,14350,2250,71750,597
2024-10-16,水,67,28350,23100,450,51900,774
2024-10-17,木,94,54400,10850,900,66150,703
2024-10-18,金,128,63050,10850,3150,77050,601
2024-10-19,土,76,36450,10850,1800,49100,646
2024-10-20,日,153,59050,33600,1020,93670,612
2024-10-21,月,107,48750,12250,3450,64450,602
2024-10-22,火,60,26150,10850,1920,38920,648
