date,weekday,count,food,drink,goods,total,avg
2024-09-01,日,44,32000,3850,2420,38270,869
2024-09-02,月,27,18150,4200,700,23050,853
2024-09-03,火,23,14400,2800,240,17440,758
2024-09-04,水,0,0,0,0,0,0
2024-09-05,木,12,6500,1050,1920,9470,789
2024-09-06,金,28,16300,3850,1270,21420,765
2024-09-07,土,34,20000,7350,1720,29070,855
2024-09-08,日,44,29000,6300,1350,36650,832
2024-09-09,月,26,12500,6650,0,19150,736
2024-09-10,火,25,14550,6300,700,21550,862
2024-09-11,水,0,0,0,0,0,0
2024-09-12,木,18,12100,3500,1150,16750,930
2024-09-13,金,18,12550,1050,120,13720,762
2024-09-14,土,30,28350,5600,0,33950,1131
2024-09-15,日,27,15450,5950,240,21640,801
2024-09-16,月,41,28600,7350,700,36650,893
2024-09-17,火,24,14550,2800,0,17350,722
2024-09-18,水,0,0,0,0,0,0
2024-09-19,木,33,16700,4200,0,20900,633
2024-09-20,金,21,7400,7350,900,15650,745
2024-09-21,土,27,18150,8050,2050,28250,1046
2024-09-22,日,36,28850,5600,1270,35720,992
2024-09-23,月,35,23500,6300,700,30500,871
2024-09-24,火,20,13750,1400,690,15840,792
2024-09-25,水,0,0,0,0,0,0
2024-09-26,木,54,25750,14000,570,40320,746
2024-09-27,金,28,20050,5600,1520,27170,970
2024-09-28,土,41,26000,8400,2540,36940,900
2024-09-29,日,36,26250,4200,1270,31720,881
2024-09-30,月,23,15300,2800,1400,19500,847
2024-10-01,火,19,12650,6300,1400,20350,1071
2024-10-02,水,0,0,0,0,0,0
2024-10-03,木,10,5150,1750,700,7600,760
2024-10-04,金,29,13950,3850,450,18250,629
2024-10-05,土,54,31650,10150,1020,42820,792
2024-10-06,日,41,30400,9800,1850,42050,1025
2024-10-07,月,23,10550,3150,700,14400,626
2024-10-08,火,27,11750,3500,900,16150,598
2024-10-09,水,0,0,0,0,0,0
2024-10-10,木,30,22050,1050,0,23100,770
2024-10-11,金,10,6950,1050,0,8000,800
2024-10-12,土,52,25900,10500,1270,37670,724
2024-10-13,日,156,90100,32200,3610,125910,807
2024-10-14,月,189,116950,28850,2690,148490,785
2024-10-15,火,31,10750,6200,570,17520,565
2024-10-16,水,0,0,0,0,0,0
2024-10-17,木,20,7250,6300,0,13550,677
2024-10-18,金,36,12250,6900,240,19390,538
2024-10-19,土,40,68550,11900,450,80900,2022
2024-10-20,日,36,62050,6300,1150,69500,1930
2024-10-21,月,28,16300,2800,1020,20120,718
2024-10-22,火,34,16550,9450,450,26450,777
2024-10-23,水,0,0,0,0,0,0
2024-10-24,木,33,20650,5250,700,26600,806
2024-10-25,金,64,30750,11550,1150,43450,678
2024-10-26,土,105,53500,35350,1590,90440,861
2024-10-27,日,140,78600,36200,4970,119770,855
2024-10-28,月,38,20300,7700,700,28700,755
2024-10-29,火,11,6250,2700,450,9400,854
2024-10-30,水,0,0,0,0,0,0
2024-10-31,木,22,13300,1650,900,15850,720
2024-11-01,金,17,6900,4550,700,12150,714
2024-11-02,土,35,18250,4900,4320,27470,784
2024-11-03,日,40,25650,7350,1720,34720,868
2024-11-04,月,25,16450,4900,3320,24670,986
2024-11-05,火,13,5550,4550,120,10220,786
2024-11-06,水,0,0,0,0,0,0
2024-11-07,木,11,6950,350,0,7300,663
2024-11-08,金,12,4800,1750,0,6550,545
2024-11-09,土,15,7100,4200,1600,12900,860
2024-11-10,日,52,27650,7350,120,35120,675
2024-11-11,月,9,3400,2100,0,5500,611
2024-11-12,火,5,3100,4900,0,8000,1600
2024-11-13,水,0,0,0,0,0,0
2024-11-14,木,27,17050,3500,0,20550,761
2024-11-15,金,27,10500,7000,450,17950,664
2024-11-16,土,33,16050,8400,700,25150,762
2024-11-17,日,20,15050,3850,900,19800,990
2024-11-18,月,24,10100,3500,450,14050,585
2024-11-19,火,6,2400,2450,450,5300,883
2024-11-20,水,0,0,0,0,0,0
2024-11-21,木,11,5000,2450,240,7690,699
2024-11-22,金,8,4750,2100,0,6850,856
2024-11-23,土,25,14150,10150,120,24420,976
2024-11-24,日,16,7450,8750,1720,17920,1120
2024-11-25,月,7,3550,2450,0,6000,857
2024-11-26,火,8,3850,700,0,4550,568
2024-11-27,水,0,0,0,0,0,0
2024-11-28,木,7,6000,2100,450,8550,1221
2024-11-29,金,7,16850,1300,0,18150,2592
2024-11-30,土,15,7850,2450,1020,11320,754
2024-12-01,日,33,17900,8650,120,26670,808
2024-12-02,月,6,1600,700,0,2300,383
2024-12-03,火,10,5450,1700,240,7390,739
2024-12-04,水,0,0,0,0,0,0
2024-12-05,木,13,6600,1750,1400,9750,750
2024-12-06,金,14,5500,2100,0,7600,542
2024-12-07,土,204,99250,96250,4610,200110,980
2024-12-08,日,21,17300,2800,0,20100,957
2024-12-09,月,35,20350,4550,450,25350,724
2024-12-10,火,6,2150,1750,0,3900,650
2024-12-11,水,0,0,0,0,0,0
2024-12-12,木,4,2050,2100,120,4270,1067
2024-12-13,金,16,9550,4500,120,14170,885
2024-12-14,土,12,7450,2100,0,9550,795
2024-12-15,日,10,6200,3850,450,10500,1050
2024-12-16,月,7,2650,2450,0,5100,728
2024-12-17,火,7,4300,700,0,5000,714
2024-12-18,水,0,0,0,0,0,0
2024-12-19,木,5,2000,1400,0,3400,680
2024-12-20,金,6,4050,2450,0,6500,1083
2024-12-21,土,12,6450,3150,820,10420,868
2024-12-22,日,20,14350,2450,820,17620,881
2024-12-23,月,16,8450,2100,240,10790,674
2024-12-24,火,8,7400,2450,1400,11250,1406
2024-12-25,水,0,0,0,0,0,0
2024-12-26,木,15,10000,4550,1840,16390,1092
2024-12-27,金,18,9350,2100,120,11570,642
2024-12-28,土,27,23900,3400,120,27420,1015
2024-12-29,日,25,18400,6300,1640,26340,1053
2024-12-30,月,26,24950,4550,120,29620,1139
2024-12-31,火,0,0,0,0,0,0
2025-01-01,水,0,0,0,0,0,0
2025-01-02,木,0,0,0,0,0,0
2025-01-03,金,0,0,0,0,0,0
2025-01-04,土,16,12300,6650,3500,22450,1403
2025-01-05,日,23,15600,4200,120,19920,866
2025-01-06,月,6,3700,1400,0,5100,850
2025-01-07,火,6,8250,350,0,8600,1433
2025-01-08,水,0,0,0,0,0,0
2025-01-09,木,8,6650,2450,120,9220,1152
2025-01-10,金,5,2900,350,0,3250,650
2025-01-11,土,19,9600,4550,2750,16900,889
2025-01-12,日,25,14100,8750,0,22850,914
