date,weekday,np_total,ce_total,rp_total,base_total
2023-01-01,日,0,0,0,0
2023-01-02,月,303985,0,0,303985
2023-01-03,火,99935,0,0,99935
2023-01-04,水,0,0,0,0
2023-01-05,木,116820,0,0,116820
2023-01-06,金,220945,0,0,220945
2023-01-07,土,221204,0,0,221204
2023-01-08,日,172805,0,0,172805
2023-01-09,月,371625,0,0,371625
2023-01-10,火,25465,0,0,25465
2023-01-11,水,0,0,0,0
2023-01-12,木,21505,0,0,21505
2023-01-13,金,71500,0,0,71500
2023-01-14,土,408645,0,0,408645
2023-01-15,日,393519,0,0,393519
2023-01-16,月,38335,0,0,38335
2023-01-17,火,15400,0,0,15400
2023-01-18,水,0,0,0,0
2023-01-19,木,174140,0,0,174140
2023-01-20,金,797580,0,0,797580
2023-01-21,土,238761,0,0,238761
2023-01-22,日,164255,0,0,164255
2023-01-23,月,18040,0,0,18040
2023-01-24,火,68915,0,0,68915
2023-01-25,水,0,0,0,0
2023-01-26,木,14300,0,0,14300
2023-01-27,金,254760,0,0,254760
2023-01-28,土,274206,0,0,274206
2023-01-29,日,236775,0,0,236775
2023-01-30,月,77550,0,0,77550
2023-01-31,火,105105,0,0,105105
2023-02-01,水,0,0,0,0
2023-02-02,木,570000,0,0,570000
2023-02-03,金,600000,0,0,600000
2023-02-04,土,580000,0,0,580000
2023-02-05,日,142505,0,0,142505
2023-02-06,月,385770,0,0,385770
2023-02-07,火,169510,0,0,169510
2023-02-08,水,0,0,0,0
2023-02-09,木,61615,0,0,61615
2023-02-10,金,167475,0,0,167475
2023-02-11,土,91740,0,0,91740
2023-02-12,日,353320,0,0,353320
2023-02-13,月,52250,0,0,52250
2023-02-14,火,115510,0,0,115510
2023-02-15,水,0,0,0,0
2023-02-16,木,56100,0,0,56100
2023-02-17,金,376200,0,0,376200
2023-02-18,土,241505,0,0,241505
2023-02-19,日,72710,0,0,72710
2023-02-20,月,102575,0,0,102575
2023-02-21,火,21725,0,0,21725
2023-02-22,水,0,0,0,0
2023-02-23,木,122980,0,0,122980
2023-02-24,金,131175,0,0,131175
2023-02-25,土,313940,0,0,313940
2023-02-26,日,174240,0,0,174240
2023-02-27,月,21780,0,0,21780
2023-02-28,火,48015,0,0,48015
2023-03-01,水,420860,0,0,420860
2023-03-02,木,340000,0,0,340000
2023-03-03,金,47245,0,0,47245
2023-03-04,土,192940,0,0,192940
2023-03-05,日,66220,0,0,66220
2023-03-06,月,65340,0,0,65340
2023-03-07,火,94446,0,0,94446
2023-03-08,水,0,0,0,0
2023-03-09,木,165330,0,0,165330
2023-03-10,金,223630,0,0,223630
2023-03-11,土,184700,0,0,184700
2023-03-12,日,231825,0,0,231825
2023-03-13,月,216275,0,0,216275
2023-03-14,火,189195,0,0,189195
2023-03-15,水,0,0,0,0
2023-03-16,木,26510,0,0,26510
2023-03-17,金,160775,0,0,160775
2023-03-18,土,244530,0,0,244530
2023-03-19,日,164395,0,0,164395
2023-03-20,月,272305,0,0,272305
2023-03-21,火,152009,0,0,152009
2023-03-22,水,0,0,0,0
2023-03-23,木,96360,0,0,96360
2023-03-24,金,279137,0,0,279137
2023-03-25,土,501040,0,0,501040
2023-03-26,日,96910,0,0,96910
2023-03-27,月,192145,0,0,192145
2023-03-28,火,145585,0,0,145585
2023-03-29,水,160000,0,0,160000
2023-03-30,木,162910,0,0,162910
2023-03-31,金,481865,0,0,481865
2023-04-01,土,167164,0,0,167164
2023-04-02,日,285455,0,0,285455
2023-04-03,月,227645,0,0,227645
2023-04-04,火,286115,0,0,286115
2023-04-05,水,0,0,0,0
2023-04-06,木,190540,0,0,190540
2023-04-07,金,255645,0,0,255645
2023-04-08,土,202180,0,0,202180
2023-04-09,日,374770,0,0,374770
2023-04-10,月,19910,0,0,19910
2023-04-11,火,54945,0,0,54945
2023-04-12,水,0,0,0,0
2023-04-13,木,90145,0,0,90145
2023-04-14,金,59510,0,0,59510
2023-04-15,土,124520,0,0,124520
2023-04-16,日,707740,0,0,707740
2023-04-17,月,76450,0,0,76450
2023-04-18,火,49060,0,0,49060
2023-04-19,水,0,0,0,0
2023-04-20,木,48730,0,0,48730
2023-04-21,金,101288,0,0,101288
2023-04-22,土,1127070,0,0,1127070
2023-04-23,日,94270,0,0,94270
2023-04-24,月,147235,0,0,147235
2023-04-25,火,227150,0,0,227150
2023-04-26,水,0,0,0,0
2023-04-27,木,131945,0,0,131945
2023-04-28,金,134750,0,0,134750
2023-04-29,土,464090,0,0,464090
2023-04-30,日,250300,0,0,250300
2023-05-01,月,147455,0,0,147455
