store,date,l_count,l_sales,l_avg,d_count,d_sales,d_avg,to_count,to_sales,bq_count,bq_sales,bg_count,bg_sales,at_count,at_sales,ryb_count,ryb_sales,event_count,event_sales,total_count,total_sales
BQ,2025-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2025-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,123865,0,0,81,123865
BQ,2025-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,120550,0,0,74,120550
BQ,2025-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,73950,0,0,48,73950
BQ,2025-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,75800,0,0,55,75800
BQ,2025-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,140100,0,0,114,140100
BQ,2025-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,101200,0,0,79,101200
BQ,2025-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,129600,0,0,86,129600
BQ,2025-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,62150,0,0,45,62150
BQ,2025-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,103900,0,0,63,103900
BQ,2025-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,67850,0,0,59,67850
BQ,2025-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,70100,0,0,53,70100
BQ,2025-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,132150,0,0,137,132150
BQ,2025-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,105600,0,0,82,105600
BQ,2025-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,100250,0,0,79,100250
BQ,2025-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,66050,0,0,49,66050
BQ,2025-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,81450,0,0,59,81450
BQ,2025-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,97200,0,0,75,97200
BQ,2025-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,128400,0,0,98,128400
BQ,2025-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,199700,0,0,158,199700
BQ,2025-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,130600,0,0,81,130600
BQ,2025-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,118650,0,0,73,118650
BQ,2025-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,97950,0,0,63,97950
BQ,2025-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,58130,0,0,48,58130
BQ,2025-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,92630,0,0,75,92630
BQ,2025-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,104800,0,0,75,104800
BQ,2025-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,132730,0,0,116,132730
BQ,2025-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,160940,0,0,117,160940
BQ,2025-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,167450,0,0,123,167450
BQ,2025-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,93500,0,0,71,93500
BQ,2025-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,71380,0,0,55,71380
BQ,2025-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,96630,0,0,69,96630
BQ,2025-06-12,8,70620,8828,6,113520,18920,0,0,0,0,0,0,0,0,64,83350,0,0,78,267490
BQ,2025-06-13,0,0,0,6,115720,19287,0,0,0,0,0,0,0,0,130,188910,0,0,136,304630
BQ,2025-06-14,9,89540,9949,15,295570,19705,0,0,0,0,0,0,0,0,101,143030,0,0,125,528140
BQ,2025-06-15,8,102190,12774,10,177760,17776,0,0,0,0,0,0,0,0,102,140540,0,0,120,420490
BQ,2025-06-16,4,28600,7150,3,53240,17747,0,0,0,0,0,0,0,0,52,76250,0,0,59,158090
BQ,2025-06-17,3,18480,6160,0,0,0,0,0,0,0,0,0,0,0,65,87460,0,0,68,105940
BQ,2025-06-18,5,30140,6028,2,54450,27225,0,0,0,0,0,0,0,0,76,104300,0,0,83,188890
BQ,2025-06-19,7,80300,11471,2,46200,23100,0,0,0,0,0,0,0,0,73,91660,0,0,82,218160
BQ,2025-06-20,7,57860,8266,14,303490,21678,0,0,0,0,0,0,0,0,146,165260,0,0,167,526610
BQ,2025-06-21,7,72710,10387,20,327720,16386,0,0,0,0,0,0,0,0,90,120260,0,0,117,520690
BQ,2025-06-22,9,56760,6307,9,117870,13097,0,0,0,0,0,0,0,0,83,120150,0,0,101,294780
BQ,2025-06-23,0,0,0,11,310860,28260,0,0,0,0,0,0,0,0,40,64800,0,0,51,375660
BQ,2025-06-24,12,99390,8282,2,28600,14300,0,0,0,0,0,0,0,0,63,91190,0,0,77,219180
BQ,2025-06-25,10,95050,9505,4,227810,56952,0,0,0,0,0,0,0,0,55,76930,0,0,69,399790
BQ,2025-06-26,6,37950,6325,2,32560,16280,0,0,0,0,0,0,0,0,55,85310,0,0,63,155820
BQ,2025-06-27,2,25520,12760,17,341350,20079,0,0,0,0,0,0,0,0,112,124770,0,0,131,491640
BQ,2025-06-28,5,41030,8206,17,376860,22168,0,0,0,0,0,0,0,0,100,141220,0,0,122,559110
BQ,2025-06-29,12,94270,7856,6,96470,16078,0,0,0,0,0,0,0,0,100,134120,0,0,118,324860
BQ,2025-06-30,4,52470,13118,4,91740,22935,0,0,0,0,0,0,0,0,60,84430,0,0,68,228640
BQ,2025-07-01,6,39160,6527,4,77440,19360,0,0,0,0,0,0,0,0,56,78110,0,0,66,194710
BQ,2025-07-02,13,89760,6905,2,46200,23100,0,0,0,0,0,0,0,0,60,83480,0,0,75,219440
BQ,2025-07-03,16,95700,5981,16,229000,14312,0,0,0,0,0,0,0,0,58,76690,0,0,90,401390
BQ,2025-07-04,9,57970,6441,7,117150,16736,0,0,0,0,0,0,0,0,97,113440,0,0,113,288560
BQ,2025-07-05,5,50930,10186,9,211650,23517,0,0,0,0,0,0,0,0,125,169190,0,0,139,431770
BQ,2025-07-06,9,108790,12088,1,28380,28380,0,0,0,0,0,0,0,0,98,129220,0,0,108,266390
BQ,2025-07-07,14,99550,7111,8,189090,23636,0,0,0,0,0,0,0,0,76,96320,0,0,98,384960
BQ,2025-07-08,10,75680,7568,10,311960,31196,0,0,0,0,0,0,0,0,62,100350,0,0,82,487990
BQ,2025-07-09,11,93060,8460,8,149160,18645,0,0,0,0,0,0,0,0,82,120390,0,0,101,362610
BQ,2025-07-10,6,65340,10890,3,46200,15400,0,0,0,0,0,0,0,0,72,110190,0,0,81,221730
