store,month,days,l_count,l_sales,l_avg,d_count,d_sales,d_avg,to_count,to_sales,bq_count,bq_sales,bg_count,bg_sales,at_count,at_sales,ryb_count,ryb_sales,event_count,event_sales,total_count,total_sales,total_avg
BQ,2025-05,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,2110465,0,0,1575,2110465,1340
BQ,2025-06,30,118,1052880,8923,150,3111790,20745,0,0,0,0,0,0,0,0,2452,3318730,0,0,2720,7483400,2751
BQ,2025-07,31,319,2586650,8109,222,4267890,19225,0,0,0,0,0,0,23,105270,2867,3776550,0,0,3431,10736360,3129
BQ,2025-08,31,301,2691260,8941,243,4925280,20269,0,0,0,0,0,0,59,265980,2907,3836750,0,0,3510,11719270,3339
BQ,2025-09,30,237,2008570,8475,161,3591950,22310,0,0,0,0,0,0,40,196790,2058,2673300,0,0,2496,8470610,3394
BQ,2025-10,31,250,1948110,7792,187,3203270,17130,0,0,0,0,0,0,23,104940,2619,3430910,0,0,3079,8687230,2821
BQ,2025-11,30,300,2510990,8370,225,4056370,18028,0,0,0,0,0,0,54,256520,2324,3161060,0,0,2903,9984940,3440
BQ,2025-12,31,317,3225050,10174,350,8881560,25376,0,0,0,0,0,0,32,145430,2774,3814720,0,0,3473,16066760,4626
BQ,2026-01,31,301,2504750,8321,176,3588910,20392,0,0,0,0,0,0,42,192940,2392,3357102,0,0,2911,9643702,3313
BQ,2026-02,28,53,406560,7671,48,810120,16878,0,0,0,0,0,0,4,19800,925,1388940,0,0,1030,2625420,2549
Ce,2023-01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-02,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-03,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-04,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-05,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-06,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-07,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-08,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-09,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2023-12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2024-04,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2024-05,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2024-06,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2024-07,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2024-08,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,2024-09,30,3355,2469690,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3355,2469690,736
Ce,2024-10,31,2889,1943430,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2889,1943430,673
Ce,2024-11,30,1655,1184660,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655,1184660,716
Ce,2024-12,31,1914,1439510,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,1439510,752
Ce,2025-01,31,872,616470,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,616470,707
Ce,2025-02,28,1574,1221860,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574,1221860,776
Ce,2025-03,31,1695,1240960,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,1240960,732
Ce,2025-04,30,1208,897610,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,897610,743
Ce,2025-05,31,3195,2403530,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3195,2403530,752
Ce,2025-06,30,3536,2878720,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3536,2878720,814
Ce,2025-07,31,3779,3203240,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3779,3203240,848
Ce,2025-08,31,3730,3330770,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3730,3330770,893
Ce,2025-09,30,3316,2509540,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,2509540,757
Ce,2025-10,31,2646,2024540,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2646,2024540,765
Ce,2025-11,30,1366,1143290,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,1143290,837
Ce,2025-12,31,1316,1107330,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,1107330,841
Ce,2026-01,31,507,395660,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,395660,780
GA,2023-04,30,136,537675,3953,92,795640,8648,24,12150,0,0,0,0,0,0,0,0,0,0,252,1345465,5339
GA,2023-05,31,970,4378530,4514,456,5879737,12894,208,135250,185,919068,506,1974750,0,0,0,0,0,0,2325,13287335,5715
GA,2023-06,30,954,4201500,4404,488,6418355,13152,330,187800,356,1841138,5309,20954700,0,0,0,0,0,0,7437,33603493,4518
GA,2023-07,31,1022,4486580,4390,496,5769620,11632,587,439510,179,1073180,11036,49342600,0,0,0,0,0,0,13320,61111490,4588
GA,2023-08,31,881,4008220,4550,511,5971740,11686,607,481380,75,408030,11093,49346650,0,0,0,0,0,0,13167,60216020,4573
GA,2023-09,30,858,3947500,4601,507,6348990,12523,360,264130,38,208800,2263,5973247,0,0,0,0,0,0,4026,16742667,4159
GA,2023-10,32,914,4315110,4721,621,5973350,9619,301,223480,96,503756,76,126240,0,0,0,0,0,0,2008,11141936,5549
