店舗別サマリー
店舗名,売上金額
LA BRIQUE SAPPORO Akarenga Terrace,17491832.0
THE GARDEN SAPPORO                 HOKKAIDO GRILLE,81449436.0
THE JEWELS,105454932.0
ひつじにわいん,75781714.0
カフェ セレステ,3561910.0
ヌーベルプース大倉山 - REPOS,52766259.0
ルスツ羊蹄ぶた by BRIQUE,2919816.0
店舗合計,339425899.0

月別サマリー
年月,売上金額
2024-11,17770217.0
2024-12,28584084.0
2025-01,18638782.0
2025-02,19458858.0
2025-03,18345945.0
2025-04,12087367.0
2025-05,45439026.0
2025-06,73312000.0
2025-07,105789620.0
月別合計,339425899.0

ブランド別サマリー
ブランド,売上金額
AMEX,2483980.0
DISCOVER,9180.0
DinersClub,459800.0
JCB,61921331.0
MUFGカード,7373696.0
MasterCard,55245402.0
VISA,148914062.0
"VIsa,MasterCard",12463020.0
iD,26000.0
アメリカン・エキスプレス,31897291.0
クレジット,8840280.0
クレジットカード,5147786.0
ダイナースクラブ,4107891.0
銀聯,536180.0
ブランド合計,339425899.0

総合計,339,425,899
