店舗別サマリー
店舗名,売上金額
LA BRIQUE SAPPORO Akarenga Terrace,22317159.0
THE GARDEN SAPPORO                 HOKKAIDO GRILLE,80002294.0
THE JEWELS,107675408.0
ひつじにわいん,67342032.0
カフェ セレステ,3582160.0
ヌーベルプース大倉山 - REPOS,56114015.0
ルスツ羊蹄ぶた by BRIQUE,3283624.0
店舗合計,340316692.0

月別サマリー
年月,売上金額
2024-11,17770217.0
2024-12,28584084.0
2025-01,18638782.0
2025-02,19458858.0
2025-03,18345945.0
2025-04,12087367.0
2025-05,22719513.0
2025-06,36656000.0
2025-07,52894810.0
2025-08,55858651.0
2025-09,30795707.0
2025-10,26506758.0
月別合計,340316692.0

ブランド別サマリー
ブランド,売上金額
DISCOVER,17520.0
DinersClub,786152.0
JCB,63617628.0
MUFGカード,7206616.0
MasterCard,61906069.0
VISA,151715405.0
iD,21400.0
その他クレジット,14490924.0
アメリカン・エキスプレス,35331362.0
ダイナースクラブ,4603766.0
銀聯,619850.0
ブランド合計,340316692.0

総合計,340,316,692
