日付,合計実働時間,合計報酬額,合計利用料,合計消費税
2025/08/01,39.00,47919,14375,1437
2025/08/02,68.75,81567,24470,2447
2025/08/03,52.75,62900,18870,1887
2025/08/04,28.75,34500,10350,1035
2025/08/05,25.00,30300,9090,909
2025/08/06,76.00,90700,27210,2721
2025/08/07,58.75,70000,21000,2100
2025/08/08,97.90,119059,35717,3571
2025/08/09,58.75,70000,21000,2100
2025/08/10,58.75,70000,21000,2100
2025/08/11,58.75,70000,21000,2100
2025/08/12,62.55,74694,22408,2240
2025/08/13,73.25,87450,26235,2622
2025/08/14,74.25,88550,26565,2655
2025/08/15,63.25,75450,22635,2263
2025/08/16,58.75,70000,21000,2100
2025/08/17,58.58,69820,20946,2094
2025/08/18,43.00,50940,15282,1525
2025/08/19,34.50,40590,12177,1215
2025/08/20,34.50,40590,12177,1215
2025/08/21,34.50,40590,12177,1215
2025/08/22,17.25,20700,6210,621
2025/08/23,17.25,20700,6210,621
2025/08/25,34.50,40590,12177,1215
2025/08/26,34.50,40590,12177,1215
2025/08/27,34.03,40077,12023,1200
2025/08/28,34.50,40590,12177,1215
2025/08/29,17.00,20350,6105,610
2025/08/30,17.25,20700,6210,621
