Source,Title,Content
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - 多くの経営者は、部下を動かすことに疲れている,"経営者は、会社の顔として常にリーダーとして振る舞っています。ですから、傍からはいつも自信たっぷりで完璧に見えます。ですが本当は、会社を存続させなくてはいけないという重責に耐え、さまざまなストレスと闘っている一面があります。社員に無用な心配をかけないようそんな様子をおくびにも見せず、業績を上げるために必死で駆け回り、社内改善にも全力で取り組んでいるのが経営者の本当の姿です。
しかし、そんな経営者の努力はなかなか社員に伝わりません。
人材育成や組織づくりに悩んでいるという企業の社員は、主体性がなく言われたことしかやらない。与えられた仕事に文句ばかりいう。給料をもらっている身であるにも関わらず、会社のことを考えて動こうとしない。あるいは、給料以上の仕事をしたら損と言わんばかりの態度をとる、という傾向があります。
特に中小企業の場合は、言われたことしかやらない指示待ち社員ばかりです。指示があれば動く社員ならまだマシな方で、場合によっては、指示に反抗的だったり、お互いに仕事を押し付け合い、やろうとしない社員がいる場合も少なくありません。
「正直、もう疲れてしまったんだ」
これは、初回のコンサルティングで経営者からよく聞く言葉のひとつです。私が関わるまでの間、経営者は会社のため、社員のためにありとあらゆる努力をしてきています。しかし、その努力が何ひとつ実っていないように感じてしまうのだそうです。お金も時間も労力も費やして改善しようと取り組んできたにも関わらず、何も変わらない。「自分は一体何をしてきたのか」と、変わらない部下を見て、すっかり失望し傷ついているのです。
経営者としては、会社から給料をもらっているのだから、もう少し会社のために何ができるかを自ら考え行動してくれればいいのにと思うでしょう。そんな働きぶりなら、アルバイトやパートを雇った方がいいのではないかと、社員をお荷物に感じてしまうこともあるようです。
経営者の仕事は、会社の方向性を見定め、戦略立案し決断していくことです。でも、お荷物な社員ばかりでは安心して仕事を任せることが出来ません。その結果、経営者は経営の仕事から離れ、社員と同じ仕事を自らやらざるを得なくなっているのです。"
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - 部下は、いつも自分都合なことばかり言ってくる,"社員がいい働きをしてくれないので、経営者は仕方なく自らプレイヤーとして動いているのですが、経営者がそうしていると、部下はこんなことを言ってきます。
「自分達に任せて、社長は社長の仕事をしてください」
「そんなに働き詰めにしていたら、いつか倒れてしまいますよ」
経営者の内心は、安心して頼めるならとうの昔にそうしていると言いたいところでしょう。でも、それを口にしてしまうと社員との関係性が悪化してしまいます。ですからグッと我慢して黙々と仕事をするしかありません。その結果、経営者は仕事が山積みになり、休みらしい休みを取ることもなく年中無休で働くことになるのです。
経営者からしたら、社員として雇用しているのだから、それにふさわしい仕事をするのが当然だと思いたくなるはずです。仮に目の前の仕事が難しくて出来ないのであれば、自分で勉強して努力すればよいだけです。社員にとっても自分の実力アップに繋がるのですから、悪い話ではありません。でも、なかなかそのことには気付かないのが社員です。会社のためどころか自分のためにも努力できない人を、これ以上どう育てたらいいのか。多くの経営者が口を揃えるように嘆かれています。
経営者の声に耳を傾けていると、社員はいつも自分のことばかりを考え、勝手なことばかりを口にするそうです。例えば、経営者が新しいことをやろうと提案すると、現場は忙しいのだからこれ以上仕事を増やさないで欲しいと言ったり、会議で決めたことを実行しなかったり、「それは誰がやるんですか？」と責任を押し付け合ったりします。
また、経営者がせっかく問い合わせを増やしても、「もっと質の高い問い合わせを増やしてきてください」などと、不満をぶつけてくることもあります。あるいは、この取引先は面倒だ、要求が多いなどと文句を言うなど、挙げ出したらキリがありません。
社員は経営者が獲得する仕事に対して平気で文句を言いますが、実際仕事を作るのはとても大変なことです。それを常にやり続けているのですから、本来なら「ありがとう」と感謝されてもいいくらいです。けれども、社員たちが考えているのは、自分達のことだけ。経営者は、そんな社員たちの態度に頭を抱えるしかありません。"
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - あらゆる手を尽くしても、一向に改善しない,"仕事で何か問題が発生した場合は、その問題の原因を解明し再発防止に努めるのが基本です。ですが、人材育成に関してはこの基本が全く通用しないことが多々あります。
例えば、外部の専門家を呼んでの社員研修やコーチングを実施したり、経営者自らが勉強し、社員に1on1をしたりすることがありますが、そうした取り組みがうまくいくケースは非常に稀です。ほとんどの場合、関係構築がきちんとできていない外部の人間を連れてきたことによって、社員たちの反感が高まり、経営者との関係性がより悪化しています。
社長自らが改革に乗り出す場合も同様で、慣れないことを続けることが経営者のストレスになり、最後までやり遂げられないことが多いです。結果的に中途半端になってしまうことで、社員たちは「社長に振り回された」と感じてしまい、以前よりも不満が溜まり、経営者との間に生じた溝がさらに深まってしまうのです。ここまで悪化してしまうと、経営者は自分の会社でありながら居場所がありません。居場所がなくなってしまった経営者は、社内改革を諦め自分は営業活動に集中しようとするのですが、結局、主体的に動くことができない社員たちなのですから、経営者が居ないからといって自分達で考えて動くようになるわけではないのです。
褒めても叱っても、教育しようとしても一向に改善していかない組織の現実に直面すると、おそらくほとんどの経営者がこんな風に考えるはずです。「採用を間違えた」と。
ただ、実際に採用が間違っていたとしても、すぐに辞めてもらうことはできません。動かない社員には辞めてもらい、新しく主体的に動ける人を採用したくても、できないのが現実です。このことも、経営者を悩ませ、心身共に疲弊させる要因のひとつです。"
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - 経営者の悩みは、自分の仕事ができないこと,"人材育成は多くの経営者がつまずくテーマですが、だからといってそればかりに集中することはできないはずです。すでにお伝えしたように、経営者の仕事は会社の方向性を見定め、戦略立案し決断していくことです。ですから、いくら社員の育成は経営者の重要な仕事だとわかっていたとしても、そればかりにすべてを使うことができません。経営者は、常に数年後あるいはさらに先の未来を見据え、社会や業界の変化にどのように対応していくべきかと考えているからです。
現代は、変化のスピードが加速度的で先の見通しが立ちにくい時代です。このような時代に会社を存続させるには、従来よりもスピーディーかつ的確な経営判断が求められると言われています。しかし、経営者がただ判断しただけでは意味がありません。経営者の下した判断を受け、現場がそれに適応し、仕事に反映させていくまでがセットなのです。
でも歯がゆいことに、それがなかなか叶わない……。理想はわかっていても、経営者としての本業になかなか集中できず、いつまでもプレイヤーとして現場で手を動かさなければならないのが現実です。経営者である自分を業務から解放してくれれば、経営に集中でき会社をもっと成長させられるのにと思っていませんか。会社が成長すれば、社員にも還元されるわけですから、社員にとって何ひとつ悪いことはないはずです。でも、その真意をわかってくれる人がおらず、経営者はどんどん孤立してしまいます。"
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - 自分がもう一人いれば、会社はまわるはず……,"経営者である自分の力では社員を動かせないことがわかるようになると、次に経営者は自分の右腕を見つけようとします。自分が何をしても変化の兆しがないのですから、他の人を頼るしかありません。ただ、他の人といっても誰でもいいわけではなく、経営者である自分のことを理解し、考えを形にしてくれるような人がベストだと考えます。
確かに、右腕となってくれる人が1人でもいれば、今よりも経営の仕事に集中できるようになるかもしれません。自分が直接社員に伝えることで角が立つなら、クッションとなってくれる人を間に挟むことで、社員からの反感も抑えられるかもしれません。
しかしながら、現実はそんなに簡単ではありません。どこからかヒーローが登場して会社を立て直してくれるといったドラマチックな展開は起こらないのです。"
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - そもそも今、採用自体が難しい,"成功している経営者には、右腕がいるとよく言われます。右腕というのは、経営者であるあなたが、仕事上心から信頼し頼りにできる人のことであり、あなたの考えや想いを理解し同じ方向を向いてくれる人のことをいいます。とはいえ、あなたの言うことをすべて肯定するイエスマンではありません。右腕となる人は、時にはあなたと反対の意見を言うこともあるでしょうが、経営者であるあなたの考えを理解した上でのことなので、同じ方向性を向いているといえます。今いる社員との間に溝ができてしまっているのなら、このような右腕の存在は、孤軍奮闘の日々を送る経営者にとってどんなに救いになるでしょうか。
ただし、ここで難しいのは自分の右腕となってくれる人が見つからないことです。
私は仕事柄、多くの経営者から話を聞きますが、「自分の右腕となってくれる人が欲しい」「もう1人、自分と同じ人がいれば変わる」「今の会社には、2番目が必要だ」とよく口にされています。本書の読者の中にも、右腕の存在を求めている人がいるかもしれません。しかしながら、実際に探そうと思うと膨大な時間と労力がかかります。
そもそも今は、右腕の採用どころか一般社員の採用自体がとても難しい時代です。
優秀な人材はどこも取り合いですから、採用コストは上がる一方で、資金力のある大手には敵いません。
また採用が難しい背景には、労働人口の減少や、近年にみる働き方の価値観の変化などさまざま考えられますが、経営者であるあなたに知っていただきたいのは、昔と今では、若手の働き世代の働くことへの価値観や考え方が違うということです。
例えば昔は、学校を卒業して就職したらその会社で定年までを過ごすことが当たり前でした。また、大切な家族や自分の生活を支えてくれる会社のために恩返しをしようと昼夜仕事に打ち込む人も大勢いました。会社にいれば、年功序列で次第に給料も上がりますから、とにかく我慢してでも仕事をするという考えでよかったのです。よく「俺たちの時代には、文句も言わずに会社に人生を捧げるのが当たり前だった。ワークライフバランスなんてなかったよな」という人たちがいますが、いくらそんなことを言っても、若手の働き世代にはまったく共感されません。
今の若手の働き世代は、1つの会社に留まることをリスクだと捉える人が少なくありません。また、会社に就職しても安定的で豊かな生活が保証されているわけではないことから、フリーランスや副業へのニーズも高まっています。これは、政府が推し進めている働き方改革や副業解禁の後押しもあるでしょう。
「いつどうなるかわからない」「自分の勤め先が突然なくなることもあり得る」という不安感を常に抱いている若手の働き世代は、そんな時代だからこそ自分の力で生きていける力を身につけたいと考えている人が多いです。言い換えると、それは「会社に依存しない生き方がしたい」という意味です。ここでいう会社に依存するとは、単に会社に雇用されることではありません。何も考えず、ただ会社にいけば給料がもらえるという気持ちで仕事をし、働く意味や意義すら持っていない人、主体性のない生き方や働き方をすることを指していると考えてください。主体性のない生き方や働き方を嫌うため、一方的な押し付けにしか思えないような命令が多かったり、自己成長が望めないような会社だったりすると、すぐにやめてしまう傾向があります。
結局のところ、旧態依然の考え方や体制のままの会社では、なかなか採用がうまくいきません。仮に採用がうまくいったとしても、働く環境が変わらないのですから、結局定着せず離職してしまうのです。
経営者であるあなたが右腕を探したくなる気持ちはよくわかりますが、少なくとも右腕となるような人材は、主体的に動き仕事を進めていく人材です。そのような主体的な人材が今の会社に入社した場合、今いる社員たちと調和をとりながら仕事を進めていくことができるでしょうか。「なんのために働くのか」と問われ、「お金と生活のため」と答えるような受け身社員ばかりの中では、1人だけ浮いてしまう可能性大。結局どうすることもできず、会社を見限って出ていってしまう可能性も十分あり得ます。
主体的に動ける人は、どこへ行っても活躍できるわけですから、足の引っ張り合いや仕事の押し付け合いばかりしている環境よりも、もっと自分が活躍できる場所を探し、そちらへ移ってしまいます。ということは、右腕となる人を採用することを考える前に、すべきことは今いる社員の意識改革だということがわかります。"
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - 今いる社員の誰かが右腕に育つ可能性は？,"今いる社員の意識改革が必要だとお伝えすると、ほとんどの経営者が瞬時に拒否反応を示します。「無理無理」「いくらやってもダメだった」と頑なです。そう言いたくなるのも無理はありません。それまで散々経営者が骨を折り、社員を育てようと努力してきたのですから。
そうは言っても、あなたにとって右腕となる存在が必要なのは明白です。先ほどお伝えしたように、新たに右腕となる人材を採用するのは難しいとなれば、今いる社員の中で有望な人材を右腕として育てるという選択肢もあります。どんな会社でも、経営者であるあなた以外に仕事ができる人は1人や2人はいるものです。ですからその人たちを集中して育成するのも右腕を確保する目的としてはアリかもしれません。
しかし、特定の人に集中して育成するのはリスクもあります。うまくいけばいいですが、うまくいかなかった場合は、ただ労力をかけただけで終わってしまいます。あなたと同等までレベルを引き上げるのは、そんなに簡単なことではなく、できたとしてもかなり時間を要します。
さらに、特定の1人だけに経営者の期待が集中することで、その人にとって物理的・精神的な負担になってしまうことも考えられます。周囲の社員からは社長から特別扱いを受けているように見えてしまいますから、社内のメンバーの中で軋轢が生まれる可能性も考えられます。そうなると、自分の右腕として育って欲しいという思いとは裏腹の結果になることが少なくないのです。"
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - 幹部クラスの中に右腕はいるのか,"経営者の右腕になってくれそうな人は、すでに幹部となっている人たちの中から見つけることができそうですが、残念ながら、幹部クラスの人の中には自分の利害ばかりを考える人もいます。経営者であるあなたの考えを理解し、チームを動かしていこうと考えてくれる人は、実際それほどいないのも事実です。
幹部クラスの人の中には、自身の定年が見えてきている人もいます。自分の定年がもうあと数年だとわかっているので、新しいことへの取り組みには後ろ向きで、現状維持を貫こうとする傾向があります。仮に今の会社の体制や経営者のやり方に不満があり、自分なりに意見があったとしても、問題が起きないことの方が大切ですから声を挙げることをしません。声を挙げないからといって問題を認識していないかというと決してそうではなく、「何を言っても仕方ない」「今さら、変わらないだろう」「社長の考えが変わらないようでは無理」「今の若い子はダメだね」と、何かしら言いたいことを抱えています。しかし、それらを表に出しても仕方ない」「今さら、変わらないだろう」「社長の考えが変わらないようでは無理」「今の若い子はダメだね」と、何かしら言いたいことを抱えています。しかし、それらを表に出しても仕方ない。どこか他人事で、口にした方が損だという意識があります。
結局、右腕を採用するのも、自社の社員を育てて右腕にするのも、どちらをとっても大変で、時間とコスト、労力がかかります。さらにダメ押しをするようですが、経験上、組織全体として活気を失い、士気が下がっている状態のところに、誰か優秀な人を1人入れたところで何も変わりません。集中的に非難されたりストレスを受けるのが、経営者であるあなたから右腕となる人に変わるだけで、根本的な解決にならないのです。仮に一時的に改善したように思えたとしても、時間が経つと元に戻ってしまいます。
ですが、このままでは夢も希望もありません。新しい右腕を探すのもダメ、今いる人を右腕にするのもダメと言われたら、一体どうすればいいのでしょうか。それは、思い切ってあなたの今の考え方を変えてみることです。私のこれまでの経験上、何をやっても人材育成や組織作りがうまくいかない場合の唯一の解決策は、誰か特定の一人に期待することではありませんでした。結果としてうまくいったのは、チーム全体で社長の右腕役ができるように、自走する組織へと育てていくという方法です。"
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - 1人ではなくチームで右腕になるという考え方,"今すでに主体的に動くことのできない人たちが、自ら考え行動する自走型になるなんて考えられないと言いたいかもしれません。しかし、あらゆる方法を試してうまくいかなかったのですから、残された方法はこれしかありません。
経営に集中するために必要なのは、指示待ち社員ではなく主体的に考え行動できる社員を育て、経営者であるあなたがいなくてもチームが自走するようにすることです。右腕となる人を育てるのは困難ですが、チームで協力しそれぞれの力を結集させれば右腕と同じ働きが期待できます。1人に能力が集中しないので、ある意味リスクを分散できるというメリットもあります。右腕のような1人のカリスマが組織を引っ張るのではなく、全社員、一人ひとりが主役となって自分の力を最大限に発揮していく組織を作ることを、私は推奨しています。
今はまだ「そんなにうまくいくはずがない」と信じられないかもしれませんが、あなたの本当の悩みは、経営に集中できないことだったはずです。その原因は、社員が自分達で考え行動せず、放っておけないからではありませんでしたか。あなたが望んでいることは、社員が積極的に仕事に取り組み、会社が成長していくように働いてくれることだったはず。であれば、遠回りに右腕探しをせずに、社員の意識改革を正しくやり直せばいいのです。"
chapter_01.txt,**CHAPTER 01 経営だけに集中できずに悩んでいませんか？** - 指示待ち社員が変わる、唯一の方法とは,"経営者がプレイヤーではなく本来の経営の仕事に集中するには、実現可能性の低い右腕探しに注力するよりも、今すでにいる社員を育成し、チーム全体で右腕として機能するよう自走型の組織づくりへと切り替えることが必要です。
自走型の組織を支えるのは、自立あるいは自律して仕事に取り組める社員です。自立型・自律型の社員は、経営者から求められていることを理解し、自分の中に落とし込んで仕事に取り組むことができます。仮に自分のスキルが不足しているとわかった時は、自ら率先してスキルアップに取り組みます。もしも今のチーム全体がこのような社員ばかりになれば、同じ内容の仕事でも全く違う結果を生み出せると思いませんか。少なくとも、あなたが今抱えている、本来の仕事に集中できないという悩みは解消されるはずです。
今の社員たちの様子を思い浮かべて「無理だ」と早急に決めつけるのはやめてください。なぜなら、自走型の組織づくりに当たっては、これまでと全く異なる人材育成のアプローチが必要になるからです。言ってしまえば、過去にどうだったかは全く関係ありません。これから先の未来をどのように創造していけばいいのかだけを考えていくことが大切です。
もっとも、現時点でやる気がなさそうにみえる社員でも、本当は活躍する機会を望んでおり、会社をよくするための多様なアイデアを持ち合わせていることも少なくありません。
では、今主体性のない社員たちを自ら主体的に動くようにするには、何が必要でしょうか。それは、社員たちに「使命」を感じてもらうことです。
使命とは、なんのためにするのかという動機のことだと考えてください。例えば仕事なら、自分はなんのためにこの仕事をするのか。というのが使命になります。経営者であれば、なんのために会社を経営するのかが、経営者の使命ということです。
自走型の組織づくりには、必ずチームや個人一人ひとりが使命に基づいて行動することが求められます。なぜなら、そうすることで、モチベーションが高まり、自分の内側から「やりたい」という自発的な意欲を引き出すことができるからです。
自走型の組織には使命が必要だとお伝えすると、中には「使命でご飯は食べられない」とおっしゃる人もいます。つまり、綺麗事ではないと言いたいのだと思います。そう言いたくなる気持ちも理解できますが、私は、何をしても組織が変わらない理由は、そもそも変わる動機が弱いからだと考えています。何か新しいルールを決めても、決めただけで実行されないことは、組織の中でよくあることです。現状を改善するためのルールなのに、守られなければ意味がありません。そしてやがて決めてもどうせ守られないということをチームが認識しだすと、現状を変えようとすらしなくなるのです。ならば、自分達で行動したくなるよう動機づけが必要です。「やらなければならない」と言う強制力で人を動かすのではなく、自ら「やりたい」「やろう」と感じるような動機があれば、人は自然と動き出すようになります。"
